driver_id,age,gender,vehicle_type,experience_years,driver_rating
DRV_0079,46,Male,Bike,14.0,4.9
DRV_0080,37,Female,Scooter,18.8,4.6
DRV_0081,22,Male,Scooter,1.8,4.4
DRV_0082,44,Female,Bike,1.9,4.2
DRV_0083,28,Female,Scooter,9.8,4.1
DRV_0084,29,Male,Scooter,9.3,3.9
DRV_0085,40,Male,Scooter,3.9,4.1
DRV_0086,43,Other,Scooter,22.6,4.2
DRV_0087,26,Female,Bike,2.7,3.7
DRV_0088,43,Female,Scooter,9.4,3.9
DRV_0089,39,Female,Car,19.0,3.4
DRV_0090,27,Male,Scooter,4.8,4.2
DRV_0091,31,Female,Car,1.8,4.2
DRV_0092,44,Male,Bike,9.6,4.9
DRV_0093,22,Female,Scooter,2.9,4.4
DRV_0094,43,Female,Scooter,4.4,4.0
DRV_0095,39,Female,Bike,12.4,4.1
DRV_0096,37,Female,Scooter,13.2,4.4
DRV_0097,34,Female,Scooter,5.5,4.3
DRV_0098,47,Male,Bike,20.1,4.4
DRV_0099,48,Female,Bike,26.5,4.4
DRV_0100,29,Male,Scooter,5.2,4.1
DRV_0101,37,Female,Bike,7.3,4.0
DRV_0102,46,Male,Bike,7.0,4.0
DRV_0103,28,Male,Bike,6.0,3.8
DRV_0104,35,Female,Bike,15.0,3.8
DRV_0105,40,Other,Car,7.1,4.9
DRV_0106,21,Male,Bike,1.2,4.2
DRV_0107,39,Female,Scooter,8.5,4.1
DRV_0108,25,Female,Car,3.9,4.0
DRV_0109,34,Female,Scooter,3.7,4.4
DRV_0110,41,Male,Bike,18.9,4.7
DRV_0111,21,Female,Scooter,0.9,4.5
DRV_0112,39,Female,Bike,14.8,4.6
DRV_0113,47,Male,Bike,14.9,4.0
DRV_0114,29,Female,Scooter,6.4,4.2
DRV_0115,37,Female,Scooter,3.4,4.0
DRV_0116,42,Female,Scooter,17.6,4.2
DRV_0117,22,Male,Car,0.8,4.7
DRV_0118,38,Male,Scooter,2.3,4.4
DRV_0119,40,Female,Scooter,12.0,4.9
DRV_0120,37,Male,Scooter,13.5,4.1
DRV_0121,34,Female,Bike,0.8,3.9
DRV_0122,26,Male,Bike,0.6,4.4
DRV_0123,43,Male,Scooter,20.1,4.2
DRV_0124,33,Male,Scooter,12.1,4.3
DRV_0125,27,Female,Bike,2.2,4.3
DRV_0126,31,Male,Bike,8.0,4.0
DRV_0127,36,Female,Bike,8.0,4.3
DRV_0128,22,Female,Scooter,2.5,4.6
DRV_0129,33,Female,Scooter,12.9,4.6
DRV_0130,30,Female,Car,1.0,4.0
DRV_0131,42,Male,Scooter,18.7,4.3
DRV_0132,21,Male,Scooter,1.5,4.8
DRV_0133,40,Male,Bike,12.4,4.0
DRV_0134,43,Female,Bike,16.3,3.9
DRV_0135,21,Female,Bike,2.8,4.5
DRV_0136,21,Male,Scooter,0.2,4.4
DRV_0137,46,Male,Bike,0.8,3.9
DRV_0138,27,Female,Scooter,1.6,3.6
DRV_0139,55,Male,Scooter,36.5,4.3
DRV_0140,21,Female,Bike,2.1,4.0
DRV_0141,34,Male,Car,9.8,3.5
DRV_0142,33,Female,Scooter,0.7,3.9
DRV_0143,32,Male,Bike,12.3,4.4
DRV_0144,36,Male,Bike,14.6,4.1
DRV_0145,37,Male,Scooter,12.6,4.8
DRV_0146,32,Male,Bike,4.7,3.4
DRV_0147,26,Male,Bike,0.6,4.7
DRV_0148,40,Male,Scooter,12.8,4.1
DRV_0149,37,Female,Car,13.7,4.0
DRV_0150,34,Male,Scooter,1.5,3.6
DRV_0151,37,Female,Car,12.0,4.4
DRV_0152,38,Male,Scooter,5.7,3.5
DRV_0153,28,Female,Bike,7.6,4.5
DRV_0154,37,Female,Scooter,10.3,3.6
DRV_0155,29,Male,Bike,1.4,3.7
DRV_0156,39,Male,Bike,11.1,3.7
DRV_0157,32,Male,Scooter,5.5,3.9
DRV_0158,37,Male,Scooter,3.4,4.6
DRV_0159,30,Female,Bike,10.1,4.8
DRV_0160,38,Female,Car,0.2,4.0
DRV_0161,26,Female,Scooter,2.5,4.2
DRV_0162,33,Female,Car,0.2,4.4
DRV_0163,40,Female,Bike,2.1,4.1
DRV_0164,36,Female,Car,5.3,4.4
DRV_0165,34,Female,Bike,0.9,4.2
DRV_0166,46,Female,Bike,16.7,4.1
DRV_0167,40,Male,Scooter,1.9,3.6
DRV_0168,39,Male,Scooter,14.7,4.3
DRV_0169,38,Female,Scooter,1.1,4.6
DRV_0170,38,Male,Scooter,1.2,3.9
DRV_0171,45,Male,Bike,8.2,3.4
DRV_0172,30,Male,Scooter,10.8,4.1
DRV_0173,40,Male,Bike,14.1,4.8
DRV_0174,35,Female,Scooter,13.1,4.7
DRV_0175,30,Male,Bike,1.7,4.0
DRV_0176,32,Female,Car,11.7,4.4
DRV_0177,35,Female,Scooter,0.1,4.4
DRV_0178,27,Male,Scooter,1.9,4.8
DRV_0179,39,Female,Car,12.9,3.6
DRV_0180,32,Female,Scooter,5.3,3.8
DRV_0181,34,Male,Bike,15.7,3.4
DRV_0182,43,Male,Bike,0.8,3.9
DRV_0183,34,Male,Scooter,16.0,4.6
DRV_0184,44,Female,Bike,16.2,4.0
DRV_0185,29,Female,Scooter,6.1,3.7
DRV_0186,25,Male,Bike,0.4,4.3
DRV_0187,31,Male,Bike,3.6,4.3
DRV_0188,21,Male,Scooter,2.8,3.8
DRV_0189,39,Female,Car,7.4,4.0
DRV_0190,26,Male,Scooter,5.3,4.3
DRV_0191,29,Female,Car,11.0,4.5
DRV_0192,38,Male,Car,5.3,3.9
DRV_0193,34,Female,Bike,9.2,3.9
DRV_0194,30,Female,Bike,8.4,5.0
DRV_0195,21,Female,Scooter,0.5,4.1
DRV_0196,42,Male,Scooter,3.6,4.3
DRV_0197,38,Female,Scooter,9.1,4.5
DRV_0198,47,Male,Car,11.2,3.5
DRV_0199,29,Male,Bike,7.9,4.2
DRV_0200,23,Female,Bike,0.3,3.5
DRV_0201,40,Female,Scooter,21.4,4.1
DRV_0202,32,Female,Bike,0.2,4.7
DRV_0203,37,Male,Bike,11.4,3.8
DRV_0204,44,Female,Bike,14.6,3.5
DRV_0205,36,Female,Bike,2.4,5.0
DRV_0206,34,Female,Scooter,2.4,3.7
DRV_0207,35,Female,Scooter,13.5,3.6
DRV_0208,22,Female,Scooter,3.6,4.8
DRV_0209,41,Male,Scooter,6.5,3.7
DRV_0210,41,Female,Bike,10.1,4.9
DRV_0211,37,Female,Scooter,6.7,4.3
DRV_0212,22,Other,Bike,0.3,4.7
DRV_0213,32,Male,Bike,9.4,4.3
DRV_0214,43,Male,Bike,20.6,4.6
DRV_0215,29,Male,Scooter,3.4,3.8
DRV_0216,41,Female,Car,22.8,4.0
DRV_0217,33,Female,Scooter,1.1,3.4
DRV_0218,38,Male,Scooter,13.2,4.6
DRV_0219,30,Female,Bike,5.4,4.4
DRV_0220,34,Female,Scooter,7.1,3.8
DRV_0221,36,Female,Scooter,8.2,3.5
DRV_0222,25,Male,Bike,1.8,4.3
DRV_0223,35,Female,Bike,12.2,4.9
DRV_0224,21,Male,Scooter,2.2,4.1
DRV_0225,29,Female,Scooter,3.1,3.9
DRV_0226,37,Male,Scooter,15.9,3.8
DRV_0227,41,Male,Scooter,7.3,4.7
DRV_0228,36,Female,Car,13.1,3.9
DRV_0229,23,Male,Bike,0.6,4.1
DRV_0230,40,Male,Bike,3.7,4.6
DRV_0231,25,Female,Bike,2.2,4.5
DRV_0232,37,Female,Bike,11.3,4.1
DRV_0233,25,Female,Scooter,4.5,3.9
DRV_0234,28,Male,Scooter,4.0,4.8
DRV_0235,26,Male,Scooter,0.6,3.8
DRV_0236,34,Male,Bike,6.0,4.1
DRV_0237,32,Male,Car,9.6,3.6
DRV_0238,37,Female,Bike,12.7,4.7
DRV_0239,33,Male,Bike,2.4,4.0
DRV_0240,22,Male,Scooter,0.0,3.9
DRV_0241,35,Male,Scooter,12.8,4.5
DRV_0242,21,Male,Bike,0.3,3.6
DRV_0243,27,Female,Bike,0.7,4.5
DRV_0244,30,Female,Scooter,0.0,4.1
DRV_0245,30,Male,Bike,5.2,3.7
DRV_0246,21,Male,Bike,1.5,3.8
DRV_0247,43,Male,Scooter,15.9,3.9
DRV_0248,45,Female,Bike,8.0,4.0
DRV_0249,49,Female,Bike,22.0,3.7
DRV_0250,41,Male,Scooter,3.9,4.3
DRV_0251,30,Male,Car,10.0,3.7
DRV_0252,30,Female,Car,6.9,3.3
DRV_0253,30,Female,Bike,7.0,5.0
DRV_0254,47,Female,Bike,6.1,4.3
DRV_0255,32,Male,Bike,1.0,5.0
DRV_0256,42,Male,Bike,11.2,3.8
DRV_0257,41,Male,Scooter,14.2,4.4
DRV_0258,34,Female,Scooter,1.5,4.6
DRV_0259,23,Female,Scooter,4.8,4.1
DRV_0260,32,Male,Bike,13.7,3.6
DRV_0261,34,Male,Bike,8.7,4.1
DRV_0262,42,Male,Scooter,22.8,4.5
DRV_0263,33,Male,Bike,2.7,4.4
DRV_0264,25,Male,Scooter,0.2,4.2
DRV_0265,40,Female,Scooter,0.9,4.6
DRV_0266,31,Male,Scooter,7.6,4.5
DRV_0267,21,Male,Bike,0.2,4.0
DRV_0268,35,Female,Scooter,16.3,3.6
DRV_0269,37,Male,Bike,2.7,4.3
DRV_0270,27,Male,Bike,2.7,3.9
DRV_0271,32,Male,Scooter,11.5,4.3
DRV_0272,38,Female,Bike,4.4,4.7
DRV_0273,35,Female,Scooter,4.1,4.4
DRV_0274,22,Male,Scooter,2.6,4.7
DRV_0275,42,Female,Car,6.6,3.8
DRV_0276,45,Male,Car,5.9,4.6
DRV_0277,29,Female,Bike,2.8,4.9
DRV_0278,21,Female,Car,1.5,4.2
DRV_0279,38,Female,Scooter,19.3,5.0
DRV_0280,28,Male,Scooter,8.3,3.9
DRV_0281,37,Other,Bike,5.4,3.9
DRV_0282,48,Female,Scooter,10.9,4.5
DRV_0283,22,Female,Bike,1.9,4.2
DRV_0284,27,Female,Scooter,8.8,3.9
DRV_0285,32,Male,Bike,2.4,4.4
DRV_0286,42,Male,Scooter,8.6,4.3
DRV_0287,58,Male,Bike,29.2,4.0
DRV_0288,35,Male,Bike,16.4,4.3
DRV_0289,22,Female,Bike,0.6,4.5
DRV_0290,31,Female,Bike,3.0,4.0
DRV_0291,28,Female,Bike,2.3,4.4
DRV_0292,38,Male,Scooter,0.4,3.9
DRV_0293,36,Male,Scooter,10.9,3.9
DRV_0294,26,Female,Scooter,5.4,4.6
DRV_0295,27,Male,Scooter,5.4,4.4
DRV_0296,30,Male,Bike,0.9,3.4
DRV_0297,31,Other,Bike,0.9,4.1
DRV_0298,33,Female,Bike,3.2,4.4
DRV_0299,33,Male,Car,4.4,4.3
DRV_0300,42,Female,Scooter,18.9,4.4
