order_id,customer_id,restaurant_id,order_timestamp,order_status,order_amount,tip_amount,items_count,payment_method,weather,traffic_condition
ORD_000017,CUST_01441,REST_0091,2025-04-18 18:58:43,Delivered,230.12,24.17,2,UPI,Clear,Medium
ORD_000018,CUST_00893,REST_0064,2025-03-25 18:47:00,Cancelled,3324.25,0.0,4,Wallet,Clear,Low
ORD_000019,CUST_01230,REST_0175,2025-05-21 03:11:28,Cancelled,430.42,0.0,2,UPI,Clear,Low
ORD_000020,CUST_01239,REST_0107,2025-04-05 07:01:21,Delivered,215.02,11.85,3,UPI,Cloudy,High
ORD_000021,CUST_00102,REST_0067,2025-05-30 17:51:55,Cancelled,312.32,0.0,3,UPI,Cloudy,Medium
ORD_000022,CUST_00257,REST_0145,2025-01-14 12:49:08,Delivered,377.18,70.39,3,UPI,Clear,Low
ORD_000023,CUST_00469,REST_0074,2025-04-28 15:55:26,Delivered,324.29,9.57,1,UPI,Rain,Medium
ORD_000024,CUST_00482,REST_0173,2025-01-29 15:27:00,Cancelled,466.04,0.0,1,UPI,Clear,Low
ORD_000025,CUST_00995,REST_0005,2025-01-11 18:06:06,Delivered,102.02,15.6,2,UPI,Clear,Low
ORD_000026,CUST_00940,REST_0102,2025-06-11 20:49:41,Delivered,138.5,23.42,2,UPI,Cloudy,High
ORD_000027,CUST_00746,REST_0101,2025-03-30 09:28:54,Delivered,574.02,103.41,2,UPI,Clear,Medium
ORD_000028,CUST_00319,REST_0054,2025-03-30 17:53:47,Delivered,563.57,31.3,3,UPI,Cloudy,Low
ORD_000029,CUST_00571,REST_0038,2025-03-21 12:31:00,Delivered,485.76,24.41,3,UPI,Clear,High
ORD_000030,CUST_00817,REST_0198,2025-01-21 22:08:01,Delivered,1024.06,55.15,7,UPI,Clear,Low
ORD_000031,CUST_00706,REST_0059,2025-04-17 11:23:47,Delivered,566.3,23.92,3,UPI,Clear,Low
ORD_000032,CUST_00194,REST_0124,2025-04-27 11:37:13,Delivered,302.01,23.74,3,UPI,Clear,Low
ORD_000033,CUST_00980,REST_0024,2025-03-11 17:58:00,Delivered,378.06,31.49,2,Credit Card,Cloudy,Severe
ORD_000034,CUST_00113,REST_0155,2025-02-20 19:16:59,Delivered,174.37,56.4,2,UPI,Clear,Medium
ORD_000035,CUST_00565,REST_0101,2025-03-06 18:35:36,Cancelled,572.16,0.0,3,Wallet,Rain,Medium
ORD_000036,CUST_01069,REST_0171,2025-06-07 19:49:27,Delivered,621.87,134.61,4,Credit Card,Cloudy,Medium
ORD_000037,CUST_00032,REST_0155,2025-03-22 16:26:00,Delivered,516.68,76.08,4,UPI,Rain,Low
ORD_000038,CUST_00858,REST_0001,2025-03-31 14:12:16,Delivered,315.86,27.56,5,UPI,Clear,High
ORD_000039,CUST_00502,REST_0002,2025-06-17 14:34:10,Delivered,4423.65,582.0,5,UPI,Clear,Low
ORD_000040,CUST_00013,REST_0043,2025-01-09 20:36:04,Delivered,958.25,31.93,3,UPI,Cloudy,Medium
ORD_000041,CUST_00285,REST_0042,2025-05-27 21:34:49,Delivered,83.52,13.01,2,UPI,Clear,High
ORD_000042,CUST_01413,REST_0031,2025-01-27 13:59:11,Delivered,349.65,44.69,2,UPI,Clear,Low
ORD_000043,CUST_00786,REST_0090,2025-02-05 14:50:00,Delivered,3092.6,348.22,5,UPI,Rain,Low
ORD_000044,CUST_01496,REST_0150,2025-03-18 13:28:28,Delivered,472.13,48.12,3,UPI,Cloudy,Medium
ORD_000045,CUST_00791,REST_0052,2025-05-30 10:41:18,Delivered,736.14,31.27,2,UPI,Cloudy,Medium
ORD_000046,CUST_00817,REST_0099,2025-02-07 09:38:14,Delivered,341.05,15.27,1,Debit Card,Rain,Medium
ORD_000047,CUST_00585,REST_0168,2025-02-23 20:45:47,Delivered,1073.13,80.96,4,Wallet,Cloudy,Medium
ORD_000048,CUST_00467,REST_0142,2025-06-23 21:56:51,Delivered,80.0,8.8,1,Credit Card,Cloudy,Medium
ORD_000049,CUST_00381,REST_0137,2025-06-11 20:05:36,Delivered,4033.29,312.2,5,Debit Card,Clear,Severe
ORD_000050,CUST_00514,REST_0079,2025-03-19 11:49:48,Delivered,1536.09,20.0,5,UPI,Clear,Medium
ORD_000051,CUST_00692,REST_0114,2025-03-14 21:47:00,Delivered,529.03,80.17,4,UPI,Clear,Medium
ORD_000052,CUST_00288,REST_0009,2025-06-05 10:37:39,Delivered,2024.63,332.13,3,UPI,Clear,High
ORD_000053,CUST_00339,REST_0124,2025-01-25 22:04:06,Delivered,445.11,56.96,5,UPI,Clear,Medium
ORD_000054,CUST_00409,REST_0111,2025-05-31 18:21:52,Delivered,2342.9,422.21,3,UPI,Clear,Low
ORD_000055,CUST_00676,REST_0089,2025-03-12 21:11:00,Delivered,484.14,74.96,3,UPI,Cloudy,Medium
ORD_000056,CUST_00986,REST_0144,2025-04-07 11:10:38,Delivered,98.41,13.71,2,UPI,Clear,Low
ORD_000057,CUST_01286,REST_0075,2025-01-04 08:32:16,Cancelled,528.7,0.0,2,UPI,Rain,Severe
ORD_000058,CUST_00433,REST_0111,2025-01-27 14:06:24,Delivered,2681.27,470.5,3,UPI,Clear,Low
ORD_000059,CUST_00275,REST_0194,2025-03-13 14:03:11,Delivered,142.62,9.07,4,Cash,Rain,Severe
ORD_000060,CUST_00566,REST_0179,2025-02-27 22:36:43,Delivered,2834.39,172.1,3,UPI,Clear,High
ORD_000061,CUST_01344,REST_0010,2025-02-28 18:44:21,Delivered,637.95,84.88,5,UPI,Clear,High
ORD_000062,CUST_00015,REST_0003,2025-03-06 11:35:07,Delivered,168.12,9.04,2,Cash,Rain,Low
ORD_000063,CUST_01022,REST_0124,2025-06-29 21:35:59,Cancelled,392.35,0.0,5,UPI,Clear,Medium
ORD_000064,CUST_00719,REST_0043,2025-02-12 22:45:03,Delivered,497.34,86.75,2,Debit Card,Clear,Medium
ORD_000065,CUST_00244,REST_0164,2025-05-21 19:44:24,Delivered,546.34,32.23,3,UPI,Clear,Low
ORD_000066,CUST_00482,REST_0170,2025-03-08 11:38:00,Delivered,2148.59,265.76,6,UPI,Clear,Medium
ORD_000067,CUST_00340,REST_0099,2025-03-16 14:55:21,Delivered,1241.81,108.68,4,Debit Card,Cloudy,Low
ORD_000068,CUST_01319,REST_0088,2025-03-03 11:12:47,Delivered,104.14,1.73,2,Credit Card,Clear,Low
ORD_000069,CUST_00726,REST_0137,2025-06-08 18:40:34,Delivered,4579.74,701.08,5,UPI,Heavy Rain,High
ORD_000070,CUST_00848,REST_0142,2025-05-06 18:12:53,Delivered,80.0,12.13,1,UPI,Clear,Severe
ORD_000071,CUST_00895,REST_0069,2025-05-02 09:07:53,Delivered,842.52,203.53,3,Cash,Clear,Medium
ORD_000072,CUST_00965,REST_0033,2025-05-15 16:38:22,Delivered,801.83,110.05,4,UPI,Cloudy,Medium
ORD_000073,CUST_00747,REST_0168,2025-04-10 16:44:03,Delivered,941.29,58.33,5,UPI,Heavy Rain,High
ORD_000074,CUST_00028,REST_0076,2025-01-30 22:38:04,Delivered,80.0,9.23,1,Credit Card,Clear,Low
ORD_000075,CUST_00502,REST_0030,2025-01-22 21:21:33,Delivered,203.26,10.35,3,UPI,Clear,High
ORD_000076,CUST_00276,REST_0071,2025-01-29 22:59:54,Delivered,628.28,57.24,3,UPI,Rain,Severe
ORD_000077,CUST_01025,REST_0025,2025-03-18 18:27:03,Delivered,131.31,39.75,2,Debit Card,Clear,Low
ORD_000078,CUST_00087,REST_0113,2025-04-06 02:47:19,Delivered,341.79,10.46,3,Credit Card,Heavy Rain,Medium
ORD_000079,CUST_00848,REST_0062,2025-01-06 15:12:30,Delivered,2894.26,419.07,4,UPI,Cloudy,Low
ORD_000080,CUST_00317,REST_0107,2025-02-08 13:21:36,Delivered,367.27,65.85,6,Credit Card,Clear,High
ORD_000081,CUST_01425,REST_0035,2025-04-19 20:14:50,Delivered,695.98,108.23,3,UPI,Clear,Low
ORD_000082,CUST_00504,REST_0058,2025-01-23 18:45:28,Delivered,368.97,63.74,3,UPI,Clear,Low
ORD_000083,CUST_00489,REST_0066,2025-05-31 14:48:12,Delivered,292.27,57.41,2,UPI,Rain,High
ORD_000084,CUST_01386,REST_0113,2025-02-01 04:44:40,Delivered,224.08,14.58,3,UPI,Rain,Medium
ORD_000085,CUST_00626,REST_0103,2025-03-06 20:39:17,Delivered,4250.11,739.65,5,UPI,Rain,Severe
ORD_000086,CUST_01446,REST_0113,2025-06-13 13:00:46,Delivered,403.29,74.34,5,UPI,Heavy Rain,Severe
ORD_000087,CUST_00037,REST_0045,2025-06-29 12:08:21,Delivered,571.57,153.07,4,UPI,Clear,Low
ORD_000088,CUST_00462,REST_0135,2025-04-30 09:51:09,Delivered,275.19,20.62,3,UPI,Rain,Medium
ORD_000089,CUST_01006,REST_0099,2025-02-25 14:01:53,Cancelled,1456.47,0.0,4,Debit Card,Clear,High
ORD_000090,CUST_01338,REST_0129,2025-02-06 22:32:31,Delivered,860.08,338.78,3,UPI,Rain,Low
ORD_000091,CUST_00388,REST_0027,2025-01-12 11:54:47,Delivered,573.82,22.57,2,Wallet,Clear,Medium
ORD_000092,CUST_01397,REST_0081,2025-06-03 19:51:25,Delivered,174.37,15.95,4,UPI,Clear,Medium
ORD_000093,CUST_00896,REST_0067,2025-05-24 11:48:48,Delivered,266.82,21.07,3,Debit Card,Clear,High
ORD_000094,CUST_01201,REST_0031,2025-04-02 15:59:40,Delivered,410.29,28.16,2,UPI,Rain,Medium
ORD_000095,CUST_00594,REST_0154,2025-06-13 21:14:54,Delivered,2187.18,287.76,3,Wallet,Clear,Low
ORD_000096,CUST_00320,REST_0062,2025-03-03 12:36:40,Delivered,1969.08,211.54,4,UPI,Clear,Low
ORD_000097,CUST_01368,REST_0182,2025-04-19 11:50:42,Delivered,1464.08,76.15,4,UPI,Heavy Rain,High
ORD_000098,CUST_01401,REST_0074,2025-06-21 20:54:21,Delivered,1289.19,71.73,3,UPI,Clear,High
ORD_000099,CUST_00750,REST_0169,2025-06-16 20:56:47,Cancelled,783.89,0.0,5,UPI,Clear,Medium
ORD_000100,CUST_00010,REST_0124,2025-05-23 11:56:35,Failed,373.9,0.0,3,UPI,Clear,Medium
ORD_000101,CUST_00168,REST_0120,2025-04-12 22:24:21,Delivered,276.36,8.1,2,UPI,Rain,High
ORD_000102,CUST_00863,REST_0197,2025-06-08 18:33:22,Delivered,97.56,17.06,1,UPI,Clear,Medium
ORD_000103,CUST_00037,REST_0098,2025-05-24 11:14:17,Delivered,718.92,179.97,3,UPI,Clear,Low
ORD_000104,CUST_00593,REST_0018,2025-04-12 18:12:00,Delivered,2685.9,187.84,8,Debit Card,Cloudy,Medium
ORD_000105,CUST_00457,REST_0154,2025-02-05 19:47:32,Delivered,3302.74,42.02,5,Credit Card,Cloudy,Medium
ORD_000106,CUST_01076,REST_0095,2025-04-12 09:16:03,Failed,795.17,0.0,3,UPI,Cloudy,Medium
ORD_000107,CUST_00085,REST_0047,2025-01-14 00:19:07,Delivered,363.26,71.32,2,UPI,Clear,Medium
ORD_000108,CUST_00736,REST_0042,2025-03-07 19:09:19,Delivered,153.33,32.62,3,Debit Card,Clear,Medium
ORD_000109,CUST_00872,REST_0053,2025-04-30 16:47:09,Delivered,365.79,6.13,2,Debit Card,Clear,Medium
ORD_000110,CUST_00931,REST_0157,2025-05-23 10:21:26,Delivered,177.98,20.24,1,Wallet,Clear,High
ORD_000111,CUST_00607,REST_0054,2025-01-15 16:21:49,Delivered,447.43,91.0,2,UPI,Cloudy,Medium
ORD_000112,CUST_00459,REST_0085,2025-03-24 20:15:00,Delivered,697.86,224.22,6,Wallet,Cloudy,Medium
ORD_000113,CUST_01028,REST_0074,2025-06-28 10:41:18,Delivered,5000.0,601.77,7,Debit Card,Cloudy,Low
ORD_000114,CUST_01272,REST_0197,2025-04-14 22:36:33,Delivered,306.47,35.15,2,UPI,Heavy Rain,High
ORD_000115,CUST_01045,REST_0081,2025-02-18 14:29:20,Delivered,221.98,16.44,3,Debit Card,Clear,Low
ORD_000116,CUST_01400,REST_0170,2025-01-21 20:08:33,Delivered,296.17,21.65,1,Cash,Clear,Medium
ORD_000117,CUST_01080,REST_0015,2025-06-27 12:20:56,Delivered,143.54,12.74,1,Debit Card,Cloudy,Low
ORD_000118,CUST_01149,REST_0163,2025-03-25 23:44:35,Delivered,736.15,40.24,3,Cash,Heavy Rain,High
ORD_000119,CUST_00253,REST_0144,2025-03-04 21:30:01,Cancelled,132.93,0.0,2,UPI,Clear,Medium
ORD_000120,CUST_00629,REST_0013,2025-05-24 20:03:46,Delivered,743.41,74.09,5,UPI,Rain,Medium
ORD_000121,CUST_00731,REST_0072,2025-02-21 07:12:49,Delivered,305.44,89.12,2,Credit Card,Cloudy,Low
ORD_000122,CUST_00387,REST_0169,2025-02-14 23:19:55,Delivered,463.87,60.7,3,UPI,Rain,Medium
ORD_000123,CUST_00796,REST_0032,2025-03-12 16:32:27,Delivered,976.46,51.46,3,UPI,Clear,High
ORD_000124,CUST_00439,REST_0144,2025-04-24 13:59:55,Delivered,146.73,11.05,3,Credit Card,Clear,Medium
ORD_000125,CUST_01036,REST_0183,2025-03-29 11:27:00,Delivered,482.43,36.5,3,Credit Card,Cloudy,Severe
ORD_000126,CUST_00709,REST_0120,2025-01-14 10:14:16,Delivered,240.3,38.87,2,UPI,Clear,Low
ORD_000127,CUST_00690,REST_0168,2025-03-24 21:26:48,Delivered,762.77,28.06,3,Cash,Rain,Severe
ORD_000128,CUST_01475,REST_0079,2025-06-14 18:54:03,Delivered,1155.24,103.06,4,Debit Card,Cloudy,Medium
ORD_000129,CUST_00586,REST_0017,2025-04-08 22:36:57,Delivered,173.67,10.99,1,Debit Card,Cloudy,Low
ORD_000130,CUST_00541,REST_0157,2025-05-12 13:31:44,Delivered,185.21,10.46,1,UPI,Cloudy,Medium
ORD_000131,CUST_00479,REST_0112,2025-04-22 14:55:15,Delivered,1769.6,114.0,2,UPI,Clear,Low
ORD_000132,CUST_01344,REST_0103,2025-01-14 20:00:51,Delivered,1016.41,8.27,1,UPI,Rain,Medium
ORD_000133,CUST_00749,REST_0062,2025-02-27 22:03:08,Delivered,1656.86,276.16,3,UPI,Cloudy,Medium
ORD_000134,CUST_00905,REST_0026,2025-05-07 14:21:11,Delivered,383.56,67.83,2,UPI,Clear,Low
ORD_000135,CUST_00272,REST_0170,2025-05-08 19:31:59,Delivered,719.18,269.51,3,UPI,Cloudy,Low
ORD_000136,CUST_00813,REST_0081,2025-04-10 05:00:13,Delivered,98.41,4.38,2,UPI,Clear,Low
ORD_000137,CUST_00413,REST_0081,2025-04-21 21:37:25,Cancelled,231.96,0.0,4,Cash,Clear,Medium
ORD_000138,CUST_01100,REST_0060,2025-04-01 21:15:45,Delivered,1405.56,285.64,5,UPI,Clear,Medium
ORD_000139,CUST_01249,REST_0190,2025-01-07 11:24:30,Delivered,2478.16,603.06,3,UPI,Clear,Low
ORD_000140,CUST_01077,REST_0100,2025-02-14 22:17:00,Cancelled,607.85,0.0,3,Debit Card,Clear,Low
ORD_000141,CUST_01099,REST_0081,2025-03-30 19:55:06,Delivered,147.66,15.44,3,UPI,Rain,High
ORD_000142,CUST_00772,REST_0197,2025-05-20 10:45:18,Delivered,495.99,70.17,4,UPI,Clear,Low
ORD_000143,CUST_01073,REST_0139,2025-02-12 17:44:59,Delivered,80.0,2.82,1,UPI,Rain,Low
ORD_000144,CUST_00634,REST_0128,2025-04-06 21:09:00,Delivered,462.28,41.87,4,UPI,Clear,Low
ORD_000145,CUST_00984,REST_0197,2025-03-03 18:17:36,Delivered,483.17,36.37,4,UPI,Rain,High
ORD_000146,CUST_00391,REST_0100,2025-02-02 08:33:00,Delivered,488.45,26.52,3,UPI,Clear,High
ORD_000147,CUST_00107,REST_0024,2025-06-06 13:42:19,Delivered,285.03,10.83,1,Debit Card,Cloudy,Medium
ORD_000148,CUST_00620,REST_0012,2025-06-11 14:32:14,Delivered,1326.08,121.62,3,Wallet,Clear,Medium
ORD_000149,CUST_00695,REST_0001,2025-04-30 22:24:04,Delivered,187.67,24.84,4,Credit Card,Clear,Medium
ORD_000150,CUST_00388,REST_0027,2025-06-27 17:24:53,Delivered,891.26,46.79,3,Credit Card,Clear,Medium
ORD_000151,CUST_01095,REST_0156,2025-06-23 21:59:48,Delivered,673.51,104.95,3,UPI,Clear,Medium
ORD_000152,CUST_00113,REST_0193,2025-05-31 22:34:28,Delivered,149.78,6.44,2,Credit Card,Clear,Medium
ORD_000153,CUST_00337,REST_0187,2025-04-29 21:02:05,Delivered,197.77,23.35,4,Wallet,Clear,Low
ORD_000154,CUST_01125,REST_0144,2025-03-28 14:01:17,Delivered,80.0,4.45,1,UPI,Clear,High
ORD_000155,CUST_00658,REST_0199,2025-04-04 11:04:45,Delivered,163.12,17.7,5,Wallet,Cloudy,Low
ORD_000156,CUST_01062,REST_0143,2025-05-19 22:40:51,Delivered,500.46,117.57,2,Wallet,Cloudy,Low
ORD_000157,CUST_00854,REST_0154,2025-02-13 09:26:55,Delivered,3202.52,278.31,5,UPI,Clear,Medium
ORD_000158,CUST_01428,REST_0004,2025-05-20 19:00:56,Delivered,2042.1,138.36,6,UPI,Clear,Medium
ORD_000159,CUST_00902,REST_0106,2025-05-05 13:11:38,Delivered,380.06,177.44,2,Credit Card,Clear,Low
ORD_000160,CUST_00023,REST_0178,2025-02-05 09:35:25,Delivered,4426.01,474.05,5,UPI,Cloudy,Low
ORD_000161,CUST_00528,REST_0131,2025-06-24 17:37:13,Delivered,639.94,30.91,3,UPI,Cloudy,Severe
ORD_000162,CUST_00218,REST_0172,2025-03-31 22:06:54,Delivered,3564.55,857.87,5,UPI,Clear,Low
ORD_000163,CUST_01388,REST_0112,2025-02-25 19:11:23,Delivered,2699.5,101.16,5,Wallet,Clear,High
ORD_000164,CUST_00159,REST_0004,2025-03-24 19:03:44,Delivered,420.61,30.36,2,UPI,Rain,High
ORD_000165,CUST_00578,REST_0172,2025-02-11 19:05:27,Delivered,4135.39,318.17,4,Wallet,Rain,Medium
ORD_000166,CUST_00342,REST_0023,2025-05-06 10:50:28,Delivered,299.66,11.42,2,UPI,Heavy Rain,High
ORD_000167,CUST_01271,REST_0097,2025-02-11 20:04:36,Delivered,643.57,68.48,5,UPI,Cloudy,Low
ORD_000168,CUST_00465,REST_0139,2025-06-18 21:27:40,Delivered,301.62,63.36,5,UPI,Clear,Low
ORD_000169,CUST_01488,REST_0110,2025-04-21 02:13:37,Delivered,204.35,29.21,1,UPI,Clear,Medium
ORD_000170,CUST_00059,REST_0083,2025-03-03 21:39:33,Delivered,5000.0,640.77,8,Credit Card,Clear,Low
ORD_000171,CUST_00196,REST_0005,2025-06-14 17:13:17,Delivered,111.6,6.48,2,Wallet,Rain,High
ORD_000172,CUST_00339,REST_0015,2025-02-02 18:27:35,Delivered,372.69,6.24,3,Debit Card,Clear,Medium
ORD_000173,CUST_01218,REST_0111,2025-03-28 14:59:10,Delivered,2582.11,346.38,3,Wallet,Clear,Low
ORD_000174,CUST_01320,REST_0162,2025-02-01 15:03:38,Delivered,1919.51,219.27,4,Wallet,Clear,Low
ORD_000175,CUST_00110,REST_0064,2025-04-04 20:23:35,Delivered,854.47,270.87,1,UPI,Cloudy,Medium
ORD_000176,CUST_00051,REST_0103,2025-04-09 21:07:00,Delivered,5000.0,206.46,5,UPI,Rain,Severe
ORD_000177,CUST_01120,REST_0039,2025-04-11 11:06:39,Cancelled,953.29,0.0,6,Wallet,Clear,Medium
ORD_000178,CUST_00203,REST_0050,2025-01-13 11:26:17,Delivered,851.9,278.95,4,Debit Card,Clear,Medium
ORD_000179,CUST_00202,REST_0180,2025-03-29 20:15:13,Delivered,167.44,12.03,4,UPI,Cloudy,Medium
ORD_000180,CUST_00035,REST_0115,2025-05-08 11:05:34,Delivered,789.56,99.5,6,UPI,Rain,High
ORD_000181,CUST_00076,REST_0172,2025-02-13 19:07:00,Delivered,2749.32,488.31,3,Wallet,Clear,Medium
ORD_000182,CUST_00398,REST_0044,2025-03-19 13:40:00,Delivered,386.26,45.19,3,UPI,Heavy Rain,Severe
ORD_000183,CUST_00100,REST_0042,2025-04-22 07:20:34,Cancelled,209.77,0.0,4,UPI,Clear,Low
ORD_000184,CUST_00551,REST_0178,2025-04-15 20:28:00,Delivered,1414.3,129.15,2,Wallet,Heavy Rain,Medium
ORD_000185,CUST_01249,REST_0192,2025-05-14 18:42:40,Delivered,1640.99,125.3,7,Credit Card,Clear,High
ORD_000186,CUST_00490,REST_0140,2025-05-13 13:57:03,Delivered,340.59,17.51,3,UPI,Rain,Severe
ORD_000187,CUST_01095,REST_0131,2025-05-15 03:56:14,Delivered,966.31,24.71,4,UPI,Clear,High
ORD_000188,CUST_00143,REST_0042,2025-05-10 18:04:06,Delivered,222.96,8.76,5,Credit Card,Cloudy,Medium
ORD_000189,CUST_00996,REST_0086,2025-03-27 16:31:07,Delivered,372.72,31.54,3,UPI,Clear,Low
ORD_000190,CUST_00476,REST_0131,2025-02-10 18:00:46,Delivered,2093.39,135.96,6,Cash,Clear,High
ORD_000191,CUST_01127,REST_0045,2025-06-17 13:37:41,Delivered,501.84,32.15,3,UPI,Clear,High
ORD_000192,CUST_00207,REST_0024,2025-06-14 21:38:54,Delivered,271.63,15.22,1,UPI,Cloudy,Severe
ORD_000193,CUST_01349,REST_0050,2025-02-04 15:52:00,Delivered,1061.54,84.85,4,UPI,Cloudy,Medium
ORD_000194,CUST_00367,REST_0045,2025-04-22 19:54:01,Delivered,945.03,303.35,5,Credit Card,Clear,Medium
ORD_000195,CUST_00529,REST_0084,2025-03-01 18:42:05,Delivered,248.94,16.89,5,Credit Card,Clear,Low
ORD_000196,CUST_01427,REST_0149,2025-06-04 12:47:39,Delivered,80.0,4.75,1,UPI,Cloudy,High
ORD_000197,CUST_00871,REST_0193,2025-05-02 22:03:19,Delivered,106.76,11.51,2,Wallet,Rain,High
ORD_000198,CUST_00546,REST_0125,2025-04-16 18:21:51,Delivered,1119.73,162.44,4,UPI,Clear,Medium
ORD_000199,CUST_01426,REST_0017,2025-02-17 13:39:10,Delivered,395.04,135.32,2,UPI,Clear,Medium
ORD_000200,CUST_00494,REST_0187,2025-03-30 19:25:15,Delivered,204.7,19.74,4,Debit Card,Clear,Medium
ORD_000201,CUST_00145,REST_0106,2025-02-09 11:31:03,Delivered,818.18,122.15,4,UPI,Clear,Low
ORD_000202,CUST_01496,REST_0115,2025-04-27 12:44:16,Delivered,555.58,91.06,3,Credit Card,Clear,Medium
ORD_000203,CUST_00404,REST_0106,2025-06-18 12:05:26,Delivered,400.61,20.19,2,Debit Card,Clear,Medium
ORD_000204,CUST_01278,REST_0098,2025-04-16 20:42:23,Delivered,788.16,135.83,3,Debit Card,Rain,Medium
ORD_000205,CUST_00250,REST_0196,2025-03-14 12:10:34,Delivered,1227.64,34.61,5,UPI,Rain,Medium
ORD_000206,CUST_01101,REST_0168,2025-06-06 23:06:11,Delivered,503.41,45.72,2,Wallet,Clear,High
ORD_000207,CUST_00790,REST_0078,2025-04-03 19:49:23,Delivered,428.33,52.5,2,Cash,Cloudy,High
ORD_000208,CUST_01471,REST_0187,2025-02-06 07:10:34,Delivered,137.95,64.26,2,Credit Card,Cloudy,Medium
ORD_000209,CUST_00832,REST_0033,2025-02-24 20:02:54,Delivered,509.1,98.56,4,UPI,Cloudy,Low
ORD_000210,CUST_00039,REST_0082,2025-01-02 19:19:20,Delivered,523.51,80.89,3,UPI,Clear,Medium
ORD_000211,CUST_00911,REST_0106,2025-03-04 22:01:25,Cancelled,648.14,0.0,3,Debit Card,Rain,High
ORD_000212,CUST_00221,REST_0168,2025-03-24 08:28:04,Delivered,987.07,141.56,3,UPI,Cloudy,Low
ORD_000213,CUST_01198,REST_0199,2025-04-17 18:40:47,Delivered,178.88,11.79,2,Credit Card,Cloudy,Medium
ORD_000214,CUST_01286,REST_0002,2025-05-13 22:08:31,Delivered,1857.22,196.95,3,UPI,Clear,Low
ORD_000215,CUST_00726,REST_0103,2025-06-29 03:14:40,Delivered,1866.1,111.99,3,Cash,Clear,High
ORD_000216,CUST_01176,REST_0028,2025-01-04 11:35:19,Delivered,355.25,57.14,2,UPI,Rain,High
ORD_000217,CUST_00221,REST_0113,2025-06-04 19:21:06,Delivered,401.76,54.81,5,Debit Card,Cloudy,Medium
ORD_000218,CUST_00742,REST_0188,2025-06-24 21:16:49,Delivered,328.73,37.25,4,Debit Card,Cloudy,Low
ORD_000219,CUST_00589,REST_0094,2025-01-07 08:27:09,Delivered,360.93,92.93,5,UPI,Clear,Medium
ORD_000220,CUST_00922,REST_0056,2025-01-27 13:21:58,Delivered,243.68,33.67,3,Debit Card,Clear,High
ORD_000221,CUST_00069,REST_0129,2025-05-07 14:05:34,Delivered,536.85,60.53,3,UPI,Clear,Low
ORD_000222,CUST_01131,REST_0011,2025-06-13 16:14:10,Delivered,629.76,23.02,5,UPI,Clear,High
ORD_000223,CUST_00121,REST_0167,2025-05-26 19:23:10,Delivered,139.48,10.38,2,UPI,Cloudy,Low
ORD_000224,CUST_00991,REST_0081,2025-05-14 22:57:59,Delivered,185.72,19.62,3,Credit Card,Rain,Low
ORD_000225,CUST_00029,REST_0186,2025-01-18 11:16:32,Delivered,513.72,78.86,6,UPI,Clear,Low
ORD_000226,CUST_01248,REST_0191,2025-02-03 18:08:39,Delivered,170.56,15.08,2,Credit Card,Heavy Rain,Medium
ORD_000227,CUST_00263,REST_0110,2025-02-13 07:26:46,Delivered,432.4,43.84,3,Cash,Heavy Rain,Severe
ORD_000228,CUST_00777,REST_0055,2025-06-02 20:52:47,Delivered,487.48,1.02,5,UPI,Clear,Low
