delivery_id,order_id,driver_id,delivery_distance_km,preparation_time_min,estimated_delivery_time_min,actual_delivery_time_min
DEL_000041,ORD_000048,DRV_0186,1.54,18.7,28.0,26.7
DEL_000042,ORD_000049,DRV_0230,5.69,14.4,58.8,60.8
DEL_000043,ORD_000050,DRV_0039,1.44,20.4,23.1,25.3
DEL_000044,ORD_000051,DRV_0152,7.85,17.2,45.1,50.1
DEL_000045,ORD_000052,DRV_0233,3.31,33.9,66.0,60.8
DEL_000046,ORD_000053,DRV_0236,15.15,25.2,67.0,61.2
DEL_000047,ORD_000054,DRV_0271,15.57,22.6,68.1,78.5
DEL_000048,ORD_000055,DRV_0116,3.77,18.0,34.0,36.0
DEL_000049,ORD_000056,DRV_0142,2.45,13.8,29.9,23.9
DEL_000050,ORD_000058,DRV_0196,7.15,17.1,55.3,50.8
DEL_000051,ORD_000059,DRV_0110,8.79,20.8,78.6,85.3
DEL_000052,ORD_000060,DRV_0191,3.86,22.3,32.0,35.3
DEL_000053,ORD_000061,DRV_0291,8.26,17.9,58.8,70.7
DEL_000054,ORD_000062,DRV_0036,2.94,11.9,24.7,24.6
DEL_000055,ORD_000064,DRV_0177,17.81,19.8,82.7,101.8
DEL_000056,ORD_000065,DRV_0029,5.03,16.8,27.5,27.9
DEL_000057,ORD_000066,DRV_0298,8.46,21.0,78.0,71.2
DEL_000058,ORD_000067,DRV_0054,6.17,24.9,58.3,54.2
DEL_000059,ORD_000068,DRV_0122,1.83,31.1,39.8,38.6
DEL_000060,ORD_000069,DRV_0193,4.51,23.7,51.4,52.2
DEL_000061,ORD_000070,DRV_0171,5.83,31.4,65.6,63.1
DEL_000062,ORD_000071,DRV_0219,5.9,16.7,31.3,36.9
DEL_000063,ORD_000072,DRV_0178,2.74,25.0,28.5,36.8
DEL_000064,ORD_000073,DRV_0150,5.72,30.0,76.9,75.1
DEL_000065,ORD_000074,DRV_0292,2.37,24.2,27.3,26.0
DEL_000066,ORD_000075,DRV_0138,5.43,18.0,60.9,60.6
DEL_000067,ORD_000076,DRV_0222,5.37,13.3,65.4,55.9
DEL_000068,ORD_000077,DRV_0131,3.95,14.3,30.8,31.0
DEL_000069,ORD_000078,DRV_0125,4.57,33.7,65.0,63.2
DEL_000070,ORD_000079,DRV_0122,7.36,28.2,53.8,51.0
DEL_000071,ORD_000080,DRV_0097,10.95,19.7,59.1,74.2
DEL_000072,ORD_000081,DRV_0266,5.81,15.1,35.7,39.2
DEL_000073,ORD_000082,DRV_0198,7.5,29.1,60.5,57.9
DEL_000074,ORD_000083,DRV_0300,4.68,34.8,75.3,69.0
DEL_000075,ORD_000084,DRV_0127,6.3,24.5,56.2,54.0
DEL_000076,ORD_000085,DRV_0181,5.98,23.4,54.5,64.9
DEL_000077,ORD_000086,DRV_0064,8.37,24.8,91.5,99.4
DEL_000078,ORD_000087,DRV_0248,9.09,12.9,42.7,46.6
DEL_000079,ORD_000088,DRV_0280,8.68,13.2,64.2,54.4
DEL_000080,ORD_000090,DRV_0246,1.92,22.3,37.7,37.7
DEL_000081,ORD_000091,DRV_0165,8.01,18.9,56.0,62.7
DEL_000082,ORD_000092,DRV_0104,5.2,18.7,38.4,37.4
DEL_000083,ORD_000093,DRV_0234,4.92,27.7,45.8,53.9
DEL_000084,ORD_000094,DRV_0202,6.53,16.6,48.5,51.5
DEL_000085,ORD_000095,DRV_0298,7.53,32.2,53.1,59.1
DEL_000086,ORD_000096,DRV_0019,5.74,12.8,38.0,32.5
DEL_000087,ORD_000097,DRV_0182,10.77,18.7,77.4,90.1
DEL_000088,ORD_000098,DRV_0029,5.56,11.7,44.5,42.9
DEL_000089,ORD_000101,DRV_0110,10.22,37.9,97.9,80.1
DEL_000090,ORD_000102,DRV_0169,6.37,7.7,40.7,39.5
DEL_000091,ORD_000103,DRV_0194,6.14,20.9,51.4,48.4
DEL_000092,ORD_000104,DRV_0179,6.57,19.7,37.7,44.0
DEL_000093,ORD_000105,DRV_0240,6.26,13.8,39.4,41.2
DEL_000094,ORD_000107,DRV_0073,2.11,12.5,16.9,16.8
DEL_000095,ORD_000108,DRV_0239,13.92,14.3,79.8,81.5
DEL_000096,ORD_000109,DRV_0276,7.57,18.0,46.0,45.2
DEL_000097,ORD_000110,DRV_0191,3.8,35.5,51.0,55.6
DEL_000098,ORD_000111,DRV_0142,8.33,35.7,76.0,79.8
DEL_000099,ORD_000112,DRV_0043,1.6,29.5,45.3,41.4
DEL_000100,ORD_000113,DRV_0012,13.61,22.2,87.4,76.7
DEL_000101,ORD_000114,DRV_0058,3.71,33.3,62.3,62.8
DEL_000102,ORD_000115,DRV_0050,1.55,24.2,29.0,28.0
DEL_000103,ORD_000116,DRV_0218,0.89,40.1,56.8,45.6
DEL_000104,ORD_000117,DRV_0013,6.2,10.4,30.8,33.3
DEL_000105,ORD_000118,DRV_0160,1.65,21.4,21.7,26.5
DEL_000106,ORD_000120,DRV_0043,5.86,24.6,46.8,49.6
DEL_000107,ORD_000121,DRV_0184,2.57,28.0,35.8,39.9
DEL_000108,ORD_000122,DRV_0183,4.15,8.4,27.9,26.8
DEL_000109,ORD_000123,DRV_0006,4.49,31.0,71.5,60.2
DEL_000110,ORD_000124,DRV_0294,3.3,16.9,34.7,26.2
DEL_000111,ORD_000125,DRV_0020,4.67,28.6,48.3,54.4
DEL_000112,ORD_000126,DRV_0178,2.69,27.5,37.8,38.0
DEL_000113,ORD_000127,DRV_0005,6.98,30.0,70.5,79.9
DEL_000114,ORD_000128,DRV_0119,2.7,21.9,34.7,33.8
DEL_000115,ORD_000129,DRV_0197,2.39,11.7,18.8,19.9
DEL_000116,ORD_000130,DRV_0129,7.17,10.9,41.3,42.0
DEL_000117,ORD_000131,DRV_0124,4.71,28.1,35.3,36.8
DEL_000118,ORD_000132,DRV_0067,6.15,10.9,36.0,40.1
DEL_000119,ORD_000133,DRV_0211,1.44,25.6,37.6,35.2
DEL_000120,ORD_000134,DRV_0086,4.62,18.0,38.1,36.6
DEL_000121,ORD_000135,DRV_0080,0.74,30.5,28.5,28.6
DEL_000122,ORD_000136,DRV_0294,3.69,23.9,37.8,40.1
DEL_000123,ORD_000138,DRV_0067,3.29,18.5,32.3,32.0
DEL_000124,ORD_000139,DRV_0110,5.32,22.9,43.5,43.1
DEL_000125,ORD_000141,DRV_0166,11.05,22.3,81.1,81.5
DEL_000126,ORD_000142,DRV_0062,2.29,21.2,30.7,30.1
DEL_000127,ORD_000143,DRV_0187,7.62,23.7,52.0,56.8
DEL_000128,ORD_000144,DRV_0270,2.99,35.2,44.5,42.5
DEL_000129,ORD_000145,DRV_0239,3.16,17.8,34.4,34.4
DEL_000130,ORD_000146,DRV_0184,4.42,17.7,39.2,38.9
DEL_000131,ORD_000147,DRV_0153,6.33,19.8,44.6,46.0
DEL_000132,ORD_000148,DRV_0180,5.22,21.4,40.1,42.2
DEL_000133,ORD_000149,DRV_0100,7.31,31.9,61.7,67.0
DEL_000134,ORD_000150,DRV_0209,8.87,25.4,62.7,66.9
DEL_000135,ORD_000151,DRV_0263,2.09,15.5,31.7,28.8
DEL_000136,ORD_000152,DRV_0224,16.66,32.4,108.3,104.0
DEL_000137,ORD_000153,DRV_0173,15.52,24.7,65.7,85.9
DEL_000138,ORD_000154,DRV_0123,7.62,19.0,52.7,60.2
DEL_000139,ORD_000155,DRV_0260,20.0,19.6,87.4,82.7
DEL_000140,ORD_000156,DRV_0178,7.02,25.4,46.2,46.4
DEL_000141,ORD_000157,DRV_0018,1.08,15.4,19.6,20.1
DEL_000142,ORD_000158,DRV_0218,3.8,26.8,44.1,42.5
DEL_000143,ORD_000159,DRV_0181,9.8,30.0,61.0,66.0
DEL_000144,ORD_000160,DRV_0126,8.69,21.2,59.3,59.8
DEL_000145,ORD_000161,DRV_0179,1.49,23.9,29.8,26.0
DEL_000146,ORD_000162,DRV_0083,5.51,24.4,42.7,50.5
DEL_000147,ORD_000163,DRV_0179,12.17,15.1,69.5,61.8
DEL_000148,ORD_000164,DRV_0111,10.81,26.5,90.1,93.0
DEL_000149,ORD_000165,DRV_0131,6.24,20.8,47.3,48.9
DEL_000150,ORD_000166,DRV_0257,7.32,35.4,87.0,89.6
DEL_000151,ORD_000167,DRV_0087,13.72,16.1,75.0,76.0
DEL_000152,ORD_000168,DRV_0216,3.11,24.6,28.2,34.0
DEL_000153,ORD_000169,DRV_0219,10.69,17.3,63.5,68.9
DEL_000154,ORD_000170,DRV_0176,14.62,31.2,89.7,95.5
DEL_000155,ORD_000171,DRV_0186,2.38,11.1,26.8,28.3
DEL_000156,ORD_000172,DRV_0205,3.94,15.2,41.0,46.6
DEL_000157,ORD_000173,DRV_0108,8.97,28.3,65.7,62.1
DEL_000158,ORD_000174,DRV_0012,5.62,17.9,32.7,29.2
DEL_000159,ORD_000175,DRV_0270,11.4,22.5,64.3,72.8
DEL_000160,ORD_000176,DRV_0249,11.76,22.7,84.5,91.8
DEL_000161,ORD_000178,DRV_0148,5.97,20.7,53.4,43.7
DEL_000162,ORD_000179,DRV_0239,17.03,13.7,86.9,92.3
DEL_000163,ORD_000180,DRV_0159,8.89,26.5,102.0,92.8
DEL_000164,ORD_000181,DRV_0217,5.5,34.9,65.6,71.2
DEL_000165,ORD_000182,DRV_0076,9.42,18.6,103.1,101.4
DEL_000166,ORD_000184,DRV_0011,6.49,27.5,77.5,71.3
DEL_000167,ORD_000185,DRV_0212,1.13,21.9,25.2,26.0
DEL_000168,ORD_000186,DRV_0155,8.83,24.2,80.9,98.8
DEL_000169,ORD_000187,DRV_0157,0.72,28.1,38.0,32.7
DEL_000170,ORD_000188,DRV_0054,1.43,24.0,31.5,35.6
DEL_000171,ORD_000189,DRV_0074,2.43,27.2,38.3,40.3
DEL_000172,ORD_000190,DRV_0232,3.15,29.1,42.9,41.2
DEL_000173,ORD_000191,DRV_0219,0.88,24.0,31.0,31.2
DEL_000174,ORD_000192,DRV_0198,1.36,17.1,20.9,25.9
DEL_000175,ORD_000193,DRV_0011,4.35,30.3,33.0,34.1
DEL_000176,ORD_000194,DRV_0175,5.14,29.8,53.0,59.0
DEL_000177,ORD_000195,DRV_0097,5.56,29.5,49.0,50.7
DEL_000178,ORD_000196,DRV_0178,5.36,26.4,63.4,62.3
DEL_000179,ORD_000197,DRV_0209,3.35,14.6,28.3,35.0
DEL_000180,ORD_000198,DRV_0026,6.56,18.8,43.8,50.9
DEL_000181,ORD_000199,DRV_0286,15.97,18.1,59.4,75.0
DEL_000182,ORD_000200,DRV_0277,6.84,19.6,45.6,45.3
DEL_000183,ORD_000201,DRV_0038,2.47,21.2,33.9,30.6
DEL_000184,ORD_000202,DRV_0017,3.89,33.7,51.0,54.9
DEL_000185,ORD_000203,DRV_0134,2.41,21.0,38.4,40.9
DEL_000186,ORD_000204,DRV_0156,2.25,21.4,28.3,30.8
DEL_000187,ORD_000205,DRV_0063,3.67,20.9,44.8,41.2
DEL_000188,ORD_000206,DRV_0110,12.19,18.2,66.0,80.5
DEL_000189,ORD_000207,DRV_0217,8.23,10.5,77.2,62.3
DEL_000190,ORD_000208,DRV_0068,13.28,19.6,68.6,74.6
DEL_000191,ORD_000209,DRV_0277,2.67,34.1,45.0,49.3
DEL_000192,ORD_000210,DRV_0020,16.43,28.5,98.2,101.2
DEL_000193,ORD_000212,DRV_0203,1.98,27.3,38.1,33.5
DEL_000194,ORD_000213,DRV_0219,7.15,16.9,50.8,49.6
DEL_000195,ORD_000214,DRV_0140,12.28,22.7,67.5,69.5
DEL_000196,ORD_000215,DRV_0205,4.65,16.1,40.3,38.3
DEL_000197,ORD_000216,DRV_0150,4.61,20.8,51.1,53.0
DEL_000198,ORD_000217,DRV_0233,0.94,12.8,13.0,13.4
DEL_000199,ORD_000218,DRV_0116,3.17,12.7,26.0,25.4
DEL_000200,ORD_000219,DRV_0269,2.01,23.9,39.2,40.3
DEL_000201,ORD_000220,DRV_0203,2.53,24.5,37.5,36.9
DEL_000202,ORD_000221,DRV_0192,5.0,22.9,44.4,41.0
DEL_000203,ORD_000222,DRV_0112,1.8,29.2,40.4,41.0
DEL_000204,ORD_000223,DRV_0028,8.34,23.3,53.7,53.7
DEL_000205,ORD_000224,DRV_0160,1.15,20.4,23.4,27.3
DEL_000206,ORD_000225,DRV_0064,3.87,23.1,49.3,46.3
DEL_000207,ORD_000226,DRV_0169,4.61,20.7,50.2,49.5
DEL_000208,ORD_000227,DRV_0006,3.06,18.7,46.7,45.9
DEL_000209,ORD_000228,DRV_0054,2.45,17.0,26.8,25.0
DEL_000210,ORD_000229,DRV_0071,3.02,24.9,34.4,41.1
DEL_000211,ORD_000230,DRV_0251,3.58,18.7,26.0,28.8
DEL_000212,ORD_000231,DRV_0269,3.51,13.5,34.0,31.2
DEL_000213,ORD_000232,DRV_0035,4.22,28.7,41.4,51.0
DEL_000214,ORD_000233,DRV_0167,14.55,24.9,60.0,80.0
DEL_000215,ORD_000234,DRV_0216,3.45,22.1,25.8,33.4
DEL_000216,ORD_000235,DRV_0196,8.43,20.0,63.1,66.4
DEL_000217,ORD_000236,DRV_0262,9.68,23.4,49.0,61.4
DEL_000218,ORD_000238,DRV_0159,0.81,16.1,20.6,20.8
DEL_000219,ORD_000240,DRV_0290,4.46,26.1,52.7,51.4
DEL_000220,ORD_000241,DRV_0280,8.31,19.1,51.4,63.3
DEL_000221,ORD_000242,DRV_0066,7.16,14.5,44.8,44.6
DEL_000222,ORD_000243,DRV_0151,13.58,18.4,73.0,75.0
DEL_000223,ORD_000244,DRV_0103,1.43,26.5,31.8,29.9
DEL_000224,ORD_000245,DRV_0219,4.41,28.8,45.7,49.2
DEL_000225,ORD_000246,DRV_0082,3.09,20.1,34.6,33.2
DEL_000226,ORD_000247,DRV_0221,4.81,22.2,29.6,34.6
DEL_000227,ORD_000248,DRV_0226,4.53,14.4,34.7,35.6
DEL_000228,ORD_000250,DRV_0287,18.14,22.6,106.9,101.1
DEL_000229,ORD_000251,DRV_0102,4.77,11.8,30.5,32.0
DEL_000230,ORD_000253,DRV_0022,3.58,28.0,39.5,46.2
DEL_000231,ORD_000254,DRV_0209,4.41,26.2,43.5,46.8
DEL_000232,ORD_000255,DRV_0133,19.45,22.3,116.8,110.3
DEL_000233,ORD_000256,DRV_0025,1.95,25.8,31.7,35.5
DEL_000234,ORD_000257,DRV_0065,3.68,18.2,20.3,24.0
DEL_000235,ORD_000258,DRV_0202,3.67,29.6,66.1,59.3
DEL_000236,ORD_000259,DRV_0117,6.45,33.8,64.4,63.9
DEL_000237,ORD_000260,DRV_0229,5.47,16.9,48.4,44.0
DEL_000238,ORD_000261,DRV_0187,9.95,24.5,66.8,70.9
DEL_000239,ORD_000262,DRV_0183,2.43,25.5,33.6,35.5
DEL_000240,ORD_000263,DRV_0264,4.54,17.5,40.5,36.3
DEL_000241,ORD_000264,DRV_0123,1.6,19.6,25.7,25.4
DEL_000242,ORD_000265,DRV_0070,2.91,30.4,44.7,46.1
DEL_000243,ORD_000266,DRV_0227,2.17,21.4,28.1,26.8
DEL_000244,ORD_000267,DRV_0168,7.56,9.7,52.3,48.3
DEL_000245,ORD_000269,DRV_0172,9.24,23.5,76.7,75.0
DEL_000246,ORD_000271,DRV_0022,8.78,33.2,63.9,69.3
DEL_000247,ORD_000272,DRV_0195,6.4,23.9,38.3,44.5
DEL_000248,ORD_000273,DRV_0267,0.92,34.4,31.4,40.5
DEL_000249,ORD_000274,DRV_0256,1.1,26.3,32.1,35.8
DEL_000250,ORD_000275,DRV_0163,3.7,12.2,50.3,48.6
DEL_000251,ORD_000276,DRV_0201,1.77,23.0,26.6,30.7
DEL_000252,ORD_000277,DRV_0031,19.84,17.5,116.7,118.5
DEL_000253,ORD_000278,DRV_0034,2.27,22.0,38.5,36.9
DEL_000254,ORD_000279,DRV_0049,2.16,27.4,31.3,32.7
DEL_000255,ORD_000280,DRV_0298,9.97,28.0,65.2,58.4
DEL_000256,ORD_000282,DRV_0222,0.89,19.6,21.3,22.6
DEL_000257,ORD_000284,DRV_0150,6.08,24.3,52.6,54.7
DEL_000258,ORD_000285,DRV_0095,9.48,21.2,66.9,60.8
DEL_000259,ORD_000286,DRV_0142,1.82,28.3,29.5,32.5
DEL_000260,ORD_000287,DRV_0151,5.05,17.5,42.6,39.2
DEL_000261,ORD_000288,DRV_0292,0.53,33.6,43.2,41.9
DEL_000262,ORD_000289,DRV_0117,3.74,37.9,63.8,62.6
DEL_000263,ORD_000290,DRV_0143,1.78,20.4,25.8,26.7
DEL_000264,ORD_000291,DRV_0047,8.68,18.6,64.9,61.0
DEL_000265,ORD_000292,DRV_0269,3.85,19.9,40.8,37.5
DEL_000266,ORD_000293,DRV_0159,4.48,28.4,42.0,46.9
DEL_000267,ORD_000294,DRV_0008,1.26,15.7,20.8,23.8
DEL_000268,ORD_000295,DRV_0024,5.02,10.8,43.5,41.6
DEL_000269,ORD_000296,DRV_0065,5.25,6.4,30.7,30.6
DEL_000270,ORD_000297,DRV_0241,4.22,12.8,24.3,22.9
DEL_000271,ORD_000299,DRV_0173,12.08,12.1,81.4,78.8
DEL_000272,ORD_000300,DRV_0061,11.9,18.1,72.6,64.1
DEL_000273,ORD_000301,DRV_0078,11.32,18.6,64.8,60.3
DEL_000274,ORD_000302,DRV_0017,3.58,5.0,18.5,20.0
DEL_000275,ORD_000304,DRV_0090,7.43,26.5,67.6,70.2
DEL_000276,ORD_000305,DRV_0204,7.54,20.6,40.8,41.6
DEL_000277,ORD_000306,DRV_0127,4.09,19.3,26.5,29.7
DEL_000278,ORD_000307,DRV_0200,6.37,16.5,42.8,38.7
DEL_000279,ORD_000308,DRV_0269,10.12,19.0,68.0,69.7
DEL_000280,ORD_000309,DRV_0029,9.89,16.8,62.3,59.6
DEL_000281,ORD_000310,DRV_0290,7.18,19.9,43.9,49.7
DEL_000282,ORD_000311,DRV_0184,8.54,22.0,65.4,70.2
DEL_000283,ORD_000312,DRV_0291,1.72,18.8,25.0,24.4
DEL_000284,ORD_000313,DRV_0030,1.74,22.4,20.5,34.3
DEL_000285,ORD_000314,DRV_0201,11.45,22.8,58.9,65.8
DEL_000286,ORD_000315,DRV_0014,4.91,32.3,56.9,61.7
DEL_000287,ORD_000316,DRV_0279,3.35,17.1,27.3,31.3
DEL_000288,ORD_000317,DRV_0051,3.13,18.0,30.5,32.3
DEL_000289,ORD_000318,DRV_0214,1.57,31.7,44.4,41.3
DEL_000290,ORD_000319,DRV_0024,3.62,22.3,39.7,36.2
DEL_000291,ORD_000320,DRV_0160,5.61,24.6,46.1,53.6
DEL_000292,ORD_000321,DRV_0298,19.96,14.0,67.4,82.5
DEL_000293,ORD_000322,DRV_0002,3.14,29.6,43.4,45.6
DEL_000294,ORD_000323,DRV_0222,5.61,15.4,39.2,37.9
DEL_000295,ORD_000324,DRV_0161,8.43,18.5,68.2,73.5
DEL_000296,ORD_000325,DRV_0142,5.58,23.9,45.9,49.7
DEL_000297,ORD_000326,DRV_0174,12.37,19.4,59.2,57.9
DEL_000298,ORD_000327,DRV_0152,8.36,19.7,56.3,60.9
DEL_000299,ORD_000328,DRV_0141,4.58,6.4,23.7,26.9
DEL_000300,ORD_000329,DRV_0040,2.1,25.8,44.0,39.5
DEL_000301,ORD_000330,DRV_0157,4.07,21.4,41.0,39.3
DEL_000302,ORD_000331,DRV_0205,6.41,27.4,53.8,57.5
DEL_000303,ORD_000332,DRV_0043,1.43,21.6,25.0,29.3
DEL_000304,ORD_000333,DRV_0206,1.75,29.4,36.5,37.9
DEL_000305,ORD_000334,DRV_0195,0.65,18.0,25.6,24.1
DEL_000306,ORD_000335,DRV_0222,8.59,23.6,49.6,58.4
DEL_000307,ORD_000336,DRV_0218,8.99,25.0,57.0,49.8
DEL_000308,ORD_000337,DRV_0024,12.62,12.5,88.5,89.1
DEL_000309,ORD_000338,DRV_0109,2.76,21.3,30.8,31.2
DEL_000310,ORD_000339,DRV_0279,4.17,18.1,34.7,33.4
DEL_000311,ORD_000340,DRV_0299,3.81,16.0,41.3,38.5
DEL_000312,ORD_000341,DRV_0078,16.16,13.2,79.0,74.3
DEL_000313,ORD_000342,DRV_0259,4.05,25.6,43.3,44.7
DEL_000314,ORD_000343,DRV_0272,2.38,32.6,45.5,43.5
DEL_000315,ORD_000345,DRV_0225,8.03,32.9,66.2,69.2
DEL_000316,ORD_000346,DRV_0134,3.49,16.5,29.9,31.5
DEL_000317,ORD_000347,DRV_0056,0.79,26.2,31.7,30.8
DEL_000318,ORD_000348,DRV_0203,2.71,22.2,32.6,32.3
DEL_000319,ORD_000349,DRV_0276,2.98,16.6,23.4,28.0
DEL_000320,ORD_000350,DRV_0242,15.65,26.4,99.7,97.0
DEL_000321,ORD_000351,DRV_0187,5.53,22.0,49.9,47.5
DEL_000322,ORD_000352,DRV_0194,8.4,24.0,56.1,51.1
DEL_000323,ORD_000353,DRV_0236,2.9,26.5,46.3,42.9
DEL_000324,ORD_000355,DRV_0239,0.79,20.6,29.4,29.2
DEL_000325,ORD_000357,DRV_0072,7.3,20.5,61.8,63.2
DEL_000326,ORD_000358,DRV_0057,4.1,31.0,41.2,43.4
DEL_000327,ORD_000359,DRV_0069,7.41,21.3,52.0,45.8
DEL_000328,ORD_000360,DRV_0236,5.86,24.2,53.0,49.9
DEL_000329,ORD_000361,DRV_0238,2.38,32.6,44.1,45.8
DEL_000330,ORD_000362,DRV_0153,7.74,14.2,55.8,49.3
DEL_000331,ORD_000363,DRV_0049,4.74,19.3,36.0,45.4
DEL_000332,ORD_000365,DRV_0083,8.81,5.0,39.3,35.6
DEL_000333,ORD_000366,DRV_0128,16.37,17.8,84.9,101.2
DEL_000334,ORD_000367,DRV_0209,1.66,14.7,20.6,24.8
DEL_000335,ORD_000368,DRV_0293,4.62,17.1,31.0,39.7
DEL_000336,ORD_000369,DRV_0003,3.85,11.1,34.9,30.7
DEL_000337,ORD_000370,DRV_0054,3.39,23.9,38.7,43.6
DEL_000338,ORD_000371,DRV_0160,4.56,16.2,49.1,46.5
DEL_000339,ORD_000372,DRV_0239,1.0,38.0,35.4,38.5
DEL_000340,ORD_000373,DRV_0089,2.77,20.5,30.7,27.8
DEL_000341,ORD_000374,DRV_0090,4.78,24.4,44.1,44.3
DEL_000342,ORD_000375,DRV_0196,13.37,7.3,64.4,61.8
DEL_000343,ORD_000376,DRV_0288,6.52,11.1,33.5,42.4
DEL_000344,ORD_000377,DRV_0243,1.45,25.6,24.1,28.3
DEL_000345,ORD_000378,DRV_0220,8.0,20.4,46.0,54.0
DEL_000346,ORD_000379,DRV_0052,7.88,16.2,69.7,70.0
DEL_000347,ORD_000380,DRV_0209,8.84,21.9,58.1,60.7
DEL_000348,ORD_000381,DRV_0134,7.81,22.8,42.3,48.9
DEL_000349,ORD_000382,DRV_0173,4.8,25.9,54.2,52.2
DEL_000350,ORD_000383,DRV_0276,18.44,30.1,123.4,116.2
DEL_000351,ORD_000384,DRV_0071,3.1,31.6,47.0,44.9
DEL_000352,ORD_000385,DRV_0238,2.31,12.4,19.0,18.9
DEL_000353,ORD_000386,DRV_0101,12.43,20.4,55.4,60.1
DEL_000354,ORD_000387,DRV_0073,2.42,20.4,29.8,32.0
DEL_000355,ORD_000389,DRV_0258,2.9,24.4,34.4,33.7
DEL_000356,ORD_000390,DRV_0219,4.98,31.7,55.0,55.1
DEL_000357,ORD_000391,DRV_0101,9.33,28.4,69.7,64.7
DEL_000358,ORD_000392,DRV_0037,6.67,34.1,76.4,67.5
DEL_000359,ORD_000393,DRV_0047,12.03,12.4,52.3,59.8
DEL_000360,ORD_000394,DRV_0271,13.04,23.8,73.1,76.4
DEL_000361,ORD_000395,DRV_0193,4.87,25.5,49.3,47.9
DEL_000362,ORD_000396,DRV_0198,2.14,21.2,28.4,25.4
DEL_000363,ORD_000397,DRV_0062,7.1,17.8,53.0,49.9
DEL_000364,ORD_000398,DRV_0225,8.13,22.8,59.3,64.8
DEL_000365,ORD_000399,DRV_0216,9.54,21.4,70.6,69.0
DEL_000366,ORD_000400,DRV_0183,3.3,31.7,42.5,44.8
DEL_000367,ORD_000401,DRV_0211,6.01,31.4,64.9,63.3
DEL_000368,ORD_000402,DRV_0113,7.19,15.4,42.7,48.0
DEL_000369,ORD_000403,DRV_0164,12.49,14.6,74.6,79.9
DEL_000370,ORD_000404,DRV_0245,14.53,5.0,62.4,62.4
DEL_000371,ORD_000405,DRV_0059,0.64,17.7,21.3,21.8
DEL_000372,ORD_000406,DRV_0149,5.12,31.0,51.9,44.6
DEL_000373,ORD_000407,DRV_0281,5.9,21.5,44.5,42.5
DEL_000374,ORD_000408,DRV_0274,11.22,23.1,72.5,74.4
DEL_000375,ORD_000409,DRV_0032,4.95,25.5,73.6,77.7
