payment_id,order_id,payment_method,payment_status,transaction_amount
PAY_000074,ORD_000074,Credit Card,Successful,80.0
PAY_000075,ORD_000075,UPI,Successful,203.26
PAY_000076,ORD_000076,UPI,Successful,628.28
PAY_000077,ORD_000077,Debit Card,Successful,131.31
PAY_000078,ORD_000078,Credit Card,Successful,341.79
PAY_000079,ORD_000079,UPI,Successful,2894.26
PAY_000080,ORD_000080,Credit Card,Successful,367.27
PAY_000081,ORD_000081,UPI,Successful,695.98
PAY_000082,ORD_000082,UPI,Successful,368.97
PAY_000083,ORD_000083,UPI,Successful,292.27
PAY_000084,ORD_000084,UPI,Successful,224.08
PAY_000085,ORD_000085,UPI,Successful,4250.11
PAY_000086,ORD_000086,UPI,Successful,403.29
PAY_000087,ORD_000087,UPI,Successful,571.57
PAY_000088,ORD_000088,UPI,Successful,275.19
PAY_000089,ORD_000089,Debit Card,Refunded,1456.47
PAY_000090,ORD_000090,UPI,Successful,860.08
PAY_000091,ORD_000091,Wallet,Successful,573.82
PAY_000092,ORD_000092,UPI,Successful,174.37
PAY_000093,ORD_000093,Debit Card,Successful,266.82
PAY_000094,ORD_000094,UPI,Successful,410.29
PAY_000095,ORD_000095,Wallet,Successful,2187.18
PAY_000096,ORD_000096,UPI,Successful,1969.08
PAY_000097,ORD_000097,UPI,Successful,1464.08
PAY_000098,ORD_000098,UPI,Successful,1289.19
PAY_000099,ORD_000099,UPI,Successful,783.89
PAY_000100,ORD_000100,UPI,Successful,373.9
PAY_000101,ORD_000101,UPI,Successful,276.36
PAY_000102,ORD_000102,UPI,Successful,97.56
PAY_000103,ORD_000103,UPI,Successful,718.92
PAY_000104,ORD_000104,Debit Card,Successful,2685.9
PAY_000105,ORD_000105,Credit Card,Successful,3302.74
PAY_000106,ORD_000106,UPI,Failed,795.17
PAY_000107,ORD_000107,UPI,Successful,363.26
PAY_000108,ORD_000108,Debit Card,Successful,153.33
PAY_000109,ORD_000109,Debit Card,Successful,365.79
PAY_000110,ORD_000110,Wallet,Successful,177.98
PAY_000111,ORD_000111,UPI,Successful,447.43
PAY_000112,ORD_000112,Wallet,Successful,697.86
PAY_000113,ORD_000113,Debit Card,Successful,5000.0
PAY_000114,ORD_000114,UPI,Successful,306.47
PAY_000115,ORD_000115,Debit Card,Successful,221.98
PAY_000116,ORD_000116,Cash,Successful,296.17
PAY_000117,ORD_000117,Debit Card,Successful,143.54
PAY_000118,ORD_000118,Cash,Successful,736.15
PAY_000119,ORD_000119,UPI,Successful,132.93
PAY_000120,ORD_000120,UPI,Successful,743.41
PAY_000121,ORD_000121,Credit Card,Successful,305.44
PAY_000122,ORD_000122,UPI,Successful,463.87
PAY_000123,ORD_000123,UPI,Successful,976.46
PAY_000124,ORD_000124,Credit Card,Successful,146.73
PAY_000125,ORD_000125,Credit Card,Successful,482.43
PAY_000126,ORD_000126,UPI,Successful,240.3
PAY_000127,ORD_000127,Cash,Successful,762.77
PAY_000128,ORD_000128,Debit Card,Successful,1155.24
PAY_000129,ORD_000129,Debit Card,Successful,173.67
PAY_000130,ORD_000130,UPI,Successful,185.21
PAY_000131,ORD_000131,UPI,Successful,1769.6
PAY_000132,ORD_000132,UPI,Successful,1016.41
PAY_000133,ORD_000133,UPI,Successful,1656.86
PAY_000134,ORD_000134,UPI,Failed,383.56
PAY_000135,ORD_000135,UPI,Successful,719.18
PAY_000136,ORD_000136,UPI,Refunded,98.41
PAY_000137,ORD_000137,Cash,Successful,231.96
PAY_000138,ORD_000138,UPI,Successful,1405.56
PAY_000139,ORD_000139,UPI,Successful,2478.16
PAY_000140,ORD_000140,Debit Card,Successful,607.85
PAY_000141,ORD_000141,UPI,Successful,147.66
PAY_000142,ORD_000142,UPI,Successful,495.99
PAY_000143,ORD_000143,UPI,Successful,80.0
PAY_000144,ORD_000144,UPI,Successful,462.28
PAY_000145,ORD_000145,UPI,Successful,483.17
PAY_000146,ORD_000146,UPI,Successful,488.45
PAY_000147,ORD_000147,Debit Card,Successful,285.03
PAY_000148,ORD_000148,Wallet,Successful,1326.08
PAY_000149,ORD_000149,Credit Card,Successful,187.67
PAY_000150,ORD_000150,Credit Card,Successful,891.26
PAY_000151,ORD_000151,UPI,Successful,673.51
PAY_000152,ORD_000152,Credit Card,Successful,149.78
PAY_000153,ORD_000153,Wallet,Successful,197.77
PAY_000154,ORD_000154,UPI,Successful,80.0
PAY_000155,ORD_000155,Wallet,Successful,163.12
PAY_000156,ORD_000156,Wallet,Successful,500.46
PAY_000157,ORD_000157,UPI,Successful,3202.52
PAY_000158,ORD_000158,UPI,Failed,2042.1
PAY_000159,ORD_000159,Credit Card,Successful,380.06
PAY_000160,ORD_000160,UPI,Successful,4426.01
PAY_000161,ORD_000161,UPI,Successful,639.94
PAY_000162,ORD_000162,UPI,Successful,3564.55
PAY_000163,ORD_000163,Wallet,Successful,2699.5
PAY_000164,ORD_000164,UPI,Successful,420.61
PAY_000165,ORD_000165,Wallet,Refunded,4135.39
PAY_000166,ORD_000166,UPI,Successful,299.66
PAY_000167,ORD_000167,UPI,Successful,643.57
PAY_000168,ORD_000168,UPI,Failed,301.62
PAY_000169,ORD_000169,UPI,Successful,204.35
PAY_000170,ORD_000170,Credit Card,Successful,5000.0
PAY_000171,ORD_000171,Wallet,Successful,111.6
PAY_000172,ORD_000172,Debit Card,Failed,372.69
PAY_000173,ORD_000173,Wallet,Successful,2582.11
PAY_000174,ORD_000174,Wallet,Successful,1919.51
PAY_000175,ORD_000175,UPI,Successful,854.47
PAY_000176,ORD_000176,UPI,Successful,5000.0
PAY_000177,ORD_000177,Wallet,Refunded,953.29
PAY_000178,ORD_000178,Debit Card,Successful,851.9
PAY_000179,ORD_000179,UPI,Successful,167.44
PAY_000180,ORD_000180,UPI,Successful,789.56
PAY_000181,ORD_000181,Wallet,Successful,2749.32
PAY_000182,ORD_000182,UPI,Successful,386.26
PAY_000183,ORD_000183,UPI,Refunded,209.77
PAY_000184,ORD_000184,Wallet,Successful,1414.3
PAY_000185,ORD_000185,Credit Card,Successful,1640.99
PAY_000186,ORD_000186,UPI,Successful,340.59
PAY_000187,ORD_000187,UPI,Successful,966.31
PAY_000188,ORD_000188,Credit Card,Successful,222.96
PAY_000189,ORD_000189,UPI,Successful,372.72
PAY_000190,ORD_000190,Cash,Successful,2093.39
PAY_000191,ORD_000191,UPI,Successful,501.84
PAY_000192,ORD_000192,UPI,Successful,271.63
PAY_000193,ORD_000193,UPI,Successful,1061.54
PAY_000194,ORD_000194,Credit Card,Successful,945.03
PAY_000195,ORD_000195,Credit Card,Successful,248.94
PAY_000196,ORD_000196,UPI,Successful,80.0
PAY_000197,ORD_000197,Wallet,Successful,106.76
PAY_000198,ORD_000198,UPI,Successful,1119.73
PAY_000199,ORD_000199,UPI,Successful,395.04
PAY_000200,ORD_000200,Debit Card,Successful,204.7
PAY_000201,ORD_000201,UPI,Successful,818.18
PAY_000202,ORD_000202,Credit Card,Successful,555.58
PAY_000203,ORD_000203,Debit Card,Successful,400.61
PAY_000204,ORD_000204,Debit Card,Successful,788.16
PAY_000205,ORD_000205,UPI,Successful,1227.64
PAY_000206,ORD_000206,Wallet,Successful,503.41
PAY_000207,ORD_000207,Cash,Successful,428.33
PAY_000208,ORD_000208,Credit Card,Successful,137.95
PAY_000209,ORD_000209,UPI,Successful,509.1
PAY_000210,ORD_000210,UPI,Successful,523.51
PAY_000211,ORD_000211,Debit Card,Successful,648.14
PAY_000212,ORD_000212,UPI,Successful,987.07
PAY_000213,ORD_000213,Credit Card,Successful,178.88
PAY_000214,ORD_000214,UPI,Successful,1857.22
PAY_000215,ORD_000215,Cash,Successful,1866.1
PAY_000216,ORD_000216,UPI,Successful,355.25
PAY_000217,ORD_000217,Debit Card,Successful,401.76
PAY_000218,ORD_000218,Debit Card,Successful,328.73
PAY_000219,ORD_000219,UPI,Successful,360.93
PAY_000220,ORD_000220,Debit Card,Successful,243.68
PAY_000221,ORD_000221,UPI,Successful,536.85
PAY_000222,ORD_000222,UPI,Successful,629.76
PAY_000223,ORD_000223,UPI,Successful,139.48
PAY_000224,ORD_000224,Credit Card,Successful,185.72
PAY_000225,ORD_000225,UPI,Successful,513.72
PAY_000226,ORD_000226,Credit Card,Successful,170.56
PAY_000227,ORD_000227,Cash,Successful,432.4
PAY_000228,ORD_000228,UPI,Successful,487.48
PAY_000229,ORD_000229,UPI,Successful,734.87
PAY_000230,ORD_000230,UPI,Successful,2229.03
PAY_000231,ORD_000231,UPI,Successful,565.68
PAY_000232,ORD_000232,Wallet,Successful,5000.0
PAY_000233,ORD_000233,UPI,Successful,3505.08
PAY_000234,ORD_000234,UPI,Successful,623.75
PAY_000235,ORD_000235,Wallet,Failed,276.14
PAY_000236,ORD_000236,UPI,Successful,142.1
PAY_000237,ORD_000237,Credit Card,Refunded,2791.8
PAY_000238,ORD_000238,UPI,Successful,407.21
PAY_000239,ORD_000239,Wallet,Successful,890.44
PAY_000240,ORD_000240,UPI,Successful,674.69
PAY_000241,ORD_000241,UPI,Successful,673.15
PAY_000242,ORD_000242,Wallet,Successful,717.37
PAY_000243,ORD_000243,Credit Card,Successful,139.58
PAY_000244,ORD_000244,UPI,Successful,413.06
PAY_000245,ORD_000245,Debit Card,Successful,201.11
PAY_000246,ORD_000246,Credit Card,Successful,555.16
PAY_000247,ORD_000247,UPI,Successful,1074.44
PAY_000248,ORD_000248,Cash,Successful,80.0
PAY_000249,ORD_000249,Wallet,Failed,967.87
PAY_000250,ORD_000250,Debit Card,Successful,220.42
PAY_000251,ORD_000251,UPI,Successful,222.85
PAY_000252,ORD_000252,UPI,Successful,108.31
PAY_000253,ORD_000253,UPI,Successful,139.1
PAY_000254,ORD_000254,UPI,Successful,276.72
PAY_000255,ORD_000255,UPI,Successful,367.72
PAY_000256,ORD_000256,Credit Card,Successful,2193.41
PAY_000257,ORD_000257,UPI,Successful,1617.77
PAY_000258,ORD_000258,UPI,Successful,785.93
PAY_000259,ORD_000259,Credit Card,Successful,649.3
PAY_000260,ORD_000260,UPI,Successful,2301.2
PAY_000261,ORD_000261,UPI,Successful,620.15
PAY_000262,ORD_000262,UPI,Successful,553.02
PAY_000263,ORD_000263,UPI,Successful,160.19
PAY_000264,ORD_000264,UPI,Successful,208.09
PAY_000265,ORD_000265,Credit Card,Successful,1622.98
PAY_000266,ORD_000266,UPI,Successful,446.63
PAY_000267,ORD_000267,Debit Card,Successful,186.3
PAY_000268,ORD_000268,UPI,Successful,161.17
PAY_000269,ORD_000269,UPI,Successful,571.41
PAY_000270,ORD_000270,UPI,Failed,439.3
PAY_000271,ORD_000271,Debit Card,Successful,665.79
PAY_000272,ORD_000272,UPI,Successful,1415.51
PAY_000273,ORD_000273,UPI,Successful,190.86
PAY_000274,ORD_000274,Debit Card,Successful,1177.02
PAY_000275,ORD_000275,UPI,Successful,360.5
PAY_000276,ORD_000276,UPI,Successful,880.03
PAY_000277,ORD_000277,UPI,Successful,145.71
PAY_000278,ORD_000278,UPI,Successful,1397.04
PAY_000279,ORD_000279,Cash,Successful,279.66
PAY_000280,ORD_000280,Wallet,Successful,80.0
PAY_000281,ORD_000281,Wallet,Successful,1703.85
PAY_000282,ORD_000282,Wallet,Successful,193.65
PAY_000283,ORD_000283,Wallet,Refunded,273.55
PAY_000284,ORD_000284,Debit Card,Successful,196.85
PAY_000285,ORD_000285,UPI,Successful,1127.51
PAY_000286,ORD_000286,Wallet,Successful,1587.56
PAY_000287,ORD_000287,UPI,Successful,1185.88
PAY_000288,ORD_000288,UPI,Successful,240.1
PAY_000289,ORD_000289,Debit Card,Successful,342.64
PAY_000290,ORD_000290,Credit Card,Successful,326.01
PAY_000291,ORD_000291,UPI,Successful,678.76
PAY_000292,ORD_000292,Debit Card,Successful,1307.47
PAY_000293,ORD_000293,UPI,Successful,204.49
PAY_000294,ORD_000294,UPI,Successful,1060.42
PAY_000295,ORD_000295,UPI,Successful,665.49
PAY_000296,ORD_000296,Debit Card,Successful,1577.96
PAY_000297,ORD_000297,UPI,Successful,850.82
PAY_000298,ORD_000298,UPI,Successful,1191.32
PAY_000299,ORD_000299,UPI,Successful,331.0
PAY_000300,ORD_000300,Credit Card,Successful,597.26
PAY_000301,ORD_000301,UPI,Successful,577.97
PAY_000302,ORD_000302,UPI,Successful,125.4
PAY_000303,ORD_000303,UPI,Successful,156.09
PAY_000304,ORD_000304,Credit Card,Successful,1030.02
PAY_000305,ORD_000305,Cash,Successful,340.8
PAY_000306,ORD_000306,Wallet,Successful,1264.68
PAY_000307,ORD_000307,UPI,Successful,225.14
PAY_000308,ORD_000308,UPI,Successful,144.13
PAY_000309,ORD_000309,UPI,Successful,1047.8
PAY_000310,ORD_000310,UPI,Successful,657.83
PAY_000311,ORD_000311,Wallet,Successful,459.4
PAY_000312,ORD_000312,UPI,Successful,491.71
PAY_000313,ORD_000313,Credit Card,Successful,220.85
PAY_000314,ORD_000314,UPI,Refunded,989.15
PAY_000315,ORD_000315,UPI,Successful,260.09
PAY_000316,ORD_000316,Debit Card,Successful,360.68
PAY_000317,ORD_000317,UPI,Successful,409.21
PAY_000318,ORD_000318,UPI,Successful,207.11
PAY_000319,ORD_000319,UPI,Successful,202.63
PAY_000320,ORD_000320,UPI,Successful,637.15
PAY_000321,ORD_000321,UPI,Successful,287.37
PAY_000322,ORD_000322,UPI,Successful,2058.76
PAY_000323,ORD_000323,Debit Card,Successful,1251.65
PAY_000324,ORD_000324,UPI,Successful,1501.15
PAY_000325,ORD_000325,UPI,Successful,721.01
PAY_000326,ORD_000326,UPI,Successful,192.72
PAY_000327,ORD_000327,Credit Card,Successful,309.01
PAY_000328,ORD_000328,UPI,Successful,151.73
PAY_000329,ORD_000329,UPI,Successful,1044.01
PAY_000330,ORD_000330,UPI,Successful,675.22
PAY_000331,ORD_000331,UPI,Successful,353.1
PAY_000332,ORD_000332,UPI,Successful,131.02
PAY_000333,ORD_000333,UPI,Successful,296.99
PAY_000334,ORD_000334,Credit Card,Successful,163.12
PAY_000335,ORD_000335,UPI,Successful,587.07
PAY_000336,ORD_000336,UPI,Successful,448.64
PAY_000337,ORD_000337,UPI,Successful,543.06
PAY_000338,ORD_000338,Debit Card,Successful,181.56
PAY_000339,ORD_000339,UPI,Successful,226.51
PAY_000340,ORD_000340,Cash,Successful,220.56
PAY_000341,ORD_000341,UPI,Successful,430.37
PAY_000342,ORD_000342,UPI,Successful,1146.64
PAY_000343,ORD_000343,UPI,Successful,706.17
PAY_000344,ORD_000344,UPI,Successful,1152.65
PAY_000345,ORD_000345,Credit Card,Successful,1174.25
PAY_000346,ORD_000346,UPI,Successful,991.37
PAY_000347,ORD_000347,Wallet,Successful,868.0
PAY_000348,ORD_000348,UPI,Successful,920.6
PAY_000349,ORD_000349,Debit Card,Successful,304.38
PAY_000350,ORD_000350,UPI,Refunded,541.69
PAY_000351,ORD_000351,UPI,Successful,363.65
PAY_000352,ORD_000352,UPI,Successful,212.67
PAY_000353,ORD_000353,UPI,Successful,406.77
PAY_000354,ORD_000354,UPI,Successful,426.59
PAY_000355,ORD_000355,Debit Card,Successful,80.0
PAY_000356,ORD_000356,UPI,Successful,156.17
PAY_000357,ORD_000357,Cash,Successful,555.05
PAY_000358,ORD_000358,Debit Card,Successful,266.27
PAY_000359,ORD_000359,Credit Card,Successful,1151.69
PAY_000360,ORD_000360,UPI,Successful,510.6
PAY_000361,ORD_000361,Credit Card,Successful,448.76
PAY_000362,ORD_000362,Cash,Successful,117.64
PAY_000363,ORD_000363,Cash,Successful,1411.95
PAY_000364,ORD_000364,UPI,Refunded,672.31
PAY_000365,ORD_000365,UPI,Successful,904.53
PAY_000366,ORD_000366,UPI,Failed,3637.06
PAY_000367,ORD_000367,Debit Card,Successful,922.76
PAY_000368,ORD_000368,Wallet,Successful,112.43
PAY_000369,ORD_000369,Credit Card,Failed,2647.02
PAY_000370,ORD_000370,UPI,Successful,240.89
PAY_000371,ORD_000371,UPI,Successful,203.52
PAY_000372,ORD_000372,Debit Card,Successful,380.26
PAY_000373,ORD_000373,UPI,Successful,673.88
PAY_000374,ORD_000374,Debit Card,Successful,381.65
PAY_000375,ORD_000375,UPI,Successful,198.43
PAY_000376,ORD_000376,UPI,Failed,357.22
PAY_000377,ORD_000377,UPI,Successful,1297.41
PAY_000378,ORD_000378,UPI,Successful,222.54
PAY_000379,ORD_000379,Wallet,Successful,180.88
PAY_000380,ORD_000380,UPI,Successful,1777.28
PAY_000381,ORD_000381,UPI,Successful,4056.82
PAY_000382,ORD_000382,UPI,Successful,339.28
PAY_000383,ORD_000383,UPI,Successful,1037.0
PAY_000384,ORD_000384,UPI,Successful,1073.22
PAY_000385,ORD_000385,UPI,Successful,1068.94
PAY_000386,ORD_000386,Credit Card,Successful,346.93
PAY_000387,ORD_000387,Debit Card,Successful,334.25
PAY_000388,ORD_000388,Credit Card,Successful,1708.1
PAY_000389,ORD_000389,Credit Card,Successful,1418.01
PAY_000390,ORD_000390,Credit Card,Successful,298.5
PAY_000391,ORD_000391,Debit Card,Successful,322.62
PAY_000392,ORD_000392,UPI,Successful,652.32
PAY_000393,ORD_000393,UPI,Successful,359.22
PAY_000394,ORD_000394,Credit Card,Successful,258.67
PAY_000395,ORD_000395,UPI,Successful,231.94
PAY_000396,ORD_000396,UPI,Successful,80.0
PAY_000397,ORD_000397,UPI,Successful,109.61
PAY_000398,ORD_000398,UPI,Successful,2974.1
PAY_000399,ORD_000399,UPI,Successful,683.25
PAY_000400,ORD_000400,UPI,Successful,3632.28
PAY_000401,ORD_000401,Cash,Successful,341.14
PAY_000402,ORD_000402,UPI,Successful,828.68
PAY_000403,ORD_000403,UPI,Successful,408.85
PAY_000404,ORD_000404,UPI,Successful,1341.44
PAY_000405,ORD_000405,UPI,Successful,155.53
PAY_000406,ORD_000406,Credit Card,Successful,194.89
PAY_000407,ORD_000407,UPI,Successful,2738.34
PAY_000408,ORD_000408,Credit Card,Successful,1585.11
PAY_000409,ORD_000409,UPI,Successful,427.45
PAY_000410,ORD_000410,UPI,Successful,727.98
PAY_000411,ORD_000411,UPI,Successful,2698.83
PAY_000412,ORD_000412,UPI,Successful,418.46
PAY_000413,ORD_000413,Debit Card,Successful,4398.33
PAY_000414,ORD_000414,Wallet,Failed,1456.62
PAY_000415,ORD_000415,Debit Card,Successful,375.49
PAY_000416,ORD_000416,Credit Card,Successful,448.63
PAY_000417,ORD_000417,UPI,Successful,126.15
PAY_000418,ORD_000418,UPI,Successful,367.97
PAY_000419,ORD_000419,UPI,Successful,1169.8
PAY_000420,ORD_000420,UPI,Successful,2793.45
PAY_000421,ORD_000421,UPI,Successful,1145.02
PAY_000422,ORD_000422,Wallet,Successful,155.04
PAY_000423,ORD_000423,Wallet,Successful,759.3
PAY_000424,ORD_000424,Cash,Failed,675.47
PAY_000425,ORD_000425,UPI,Successful,2331.31
PAY_000426,ORD_000426,UPI,Successful,555.31
PAY_000427,ORD_000427,UPI,Successful,128.65
PAY_000428,ORD_000428,Cash,Successful,2458.63
PAY_000429,ORD_000429,UPI,Successful,384.94
PAY_000430,ORD_000430,Credit Card,Successful,390.76
PAY_000431,ORD_000431,UPI,Successful,1177.98
PAY_000432,ORD_000432,Debit Card,Successful,3883.52
PAY_000433,ORD_000433,Credit Card,Successful,5000.0
PAY_000434,ORD_000434,Credit Card,Successful,564.9
PAY_000435,ORD_000435,Credit Card,Successful,2354.8
PAY_000436,ORD_000436,Cash,Successful,329.43
PAY_000437,ORD_000437,UPI,Successful,112.27
PAY_000438,ORD_000438,UPI,Successful,211.93
PAY_000439,ORD_000439,Credit Card,Successful,363.78
PAY_000440,ORD_000440,UPI,Successful,237.15
PAY_000441,ORD_000441,UPI,Successful,325.61
PAY_000442,ORD_000442,Credit Card,Successful,114.7
PAY_000443,ORD_000443,UPI,Successful,211.9
PAY_000444,ORD_000444,Cash,Successful,846.78
PAY_000445,ORD_000445,UPI,Successful,378.56
PAY_000446,ORD_000446,UPI,Successful,953.08
PAY_000447,ORD_000447,UPI,Successful,1236.83
PAY_000448,ORD_000448,UPI,Successful,390.57
PAY_000449,ORD_000449,UPI,Successful,80.0
PAY_000450,ORD_000450,UPI,Successful,193.5
PAY_000451,ORD_000451,Debit Card,Successful,256.4
PAY_000452,ORD_000452,UPI,Successful,1513.32
PAY_000453,ORD_000453,UPI,Successful,810.57
PAY_000454,ORD_000454,UPI,Successful,253.81
PAY_000455,ORD_000455,Credit Card,Successful,219.35
PAY_000456,ORD_000456,Credit Card,Successful,1148.46
PAY_000457,ORD_000457,UPI,Successful,920.82
PAY_000458,ORD_000458,UPI,Successful,726.51
PAY_000459,ORD_000459,Cash,Successful,213.57
PAY_000460,ORD_000460,Wallet,Failed,1986.69
PAY_000461,ORD_000461,Credit Card,Successful,668.95
PAY_000462,ORD_000462,UPI,Successful,539.17
PAY_000463,ORD_000463,Wallet,Successful,80.0
PAY_000464,ORD_000464,Credit Card,Successful,548.84
PAY_000465,ORD_000465,Wallet,Successful,683.04
PAY_000466,ORD_000466,Credit Card,Successful,2867.65
PAY_000467,ORD_000467,UPI,Successful,1943.28
PAY_000468,ORD_000468,Debit Card,Successful,151.8
PAY_000469,ORD_000469,UPI,Successful,486.5
PAY_000470,ORD_000470,UPI,Successful,470.1
PAY_000471,ORD_000471,Credit Card,Successful,652.75
PAY_000472,ORD_000472,Credit Card,Successful,105.59
PAY_000473,ORD_000473,Credit Card,Successful,369.59
PAY_000474,ORD_000474,Credit Card,Successful,527.65
PAY_000475,ORD_000475,UPI,Successful,80.0
PAY_000476,ORD_000476,Wallet,Successful,597.39
PAY_000477,ORD_000477,Cash,Successful,323.2
PAY_000478,ORD_000478,Debit Card,Successful,3288.83
PAY_000479,ORD_000479,Credit Card,Successful,247.35
PAY_000480,ORD_000480,Debit Card,Successful,840.38
PAY_000481,ORD_000481,Debit Card,Successful,553.27
PAY_000482,ORD_000482,UPI,Successful,1512.72
PAY_000483,ORD_000483,UPI,Successful,647.77
PAY_000484,ORD_000484,Wallet,Successful,123.49
PAY_000485,ORD_000485,UPI,Successful,121.48
PAY_000486,ORD_000486,Wallet,Successful,368.32
PAY_000487,ORD_000487,Credit Card,Successful,723.28
PAY_000488,ORD_000488,Credit Card,Successful,115.63
PAY_000489,ORD_000489,Debit Card,Successful,676.56
PAY_000490,ORD_000490,Wallet,Successful,193.98
PAY_000491,ORD_000491,Credit Card,Successful,1313.63
PAY_000492,ORD_000492,Credit Card,Successful,141.19
PAY_000493,ORD_000493,Debit Card,Successful,333.13
PAY_000494,ORD_000494,UPI,Successful,892.91
PAY_000495,ORD_000495,Credit Card,Successful,769.95
PAY_000496,ORD_000496,Debit Card,Successful,150.56
PAY_000497,ORD_000497,UPI,Refunded,202.23
PAY_000498,ORD_000498,UPI,Successful,687.44
PAY_000499,ORD_000499,Credit Card,Successful,613.42
PAY_000500,ORD_000500,UPI,Successful,1406.49
PAY_000501,ORD_000501,Credit Card,Successful,472.89
PAY_000502,ORD_000502,UPI,Successful,363.13
PAY_000503,ORD_000503,UPI,Successful,961.09
PAY_000504,ORD_000504,UPI,Successful,188.82
PAY_000505,ORD_000505,UPI,Successful,531.45
PAY_000506,ORD_000506,UPI,Successful,794.1
PAY_000507,ORD_000507,UPI,Successful,5000.0
PAY_000508,ORD_000508,UPI,Successful,882.03
PAY_000509,ORD_000509,UPI,Successful,359.1
PAY_000510,ORD_000510,Credit Card,Successful,606.62
PAY_000511,ORD_000511,Credit Card,Successful,5000.0
PAY_000512,ORD_000512,UPI,Successful,185.73
PAY_000513,ORD_000513,UPI,Successful,636.65
PAY_000514,ORD_000514,Wallet,Successful,308.67
PAY_000515,ORD_000515,Debit Card,Successful,393.24
PAY_000516,ORD_000516,Credit Card,Successful,766.24
PAY_000517,ORD_000517,UPI,Successful,204.53
PAY_000518,ORD_000518,Debit Card,Successful,937.15
